Player Name,Team,League,POS,GP,MIN,Y,YR,R,A,SA,CR,ACR,CC,FS,P,AP,ACRO,BCC,DR,APW,TBOX,ECL
Ben Mee,BUR,EPL,D,38,3420,9,0,0,2,1,4,2,8,18,1125,1502,2,3,8,0,56,232
Conor Coady,WLV,EPL,D,38,3420,5,0,0,0,0,0,0,2,10,1423,1689,0,1,3,0,0,127
Luka Milivojevic,CRY,EPL,M,38,3420,10,0,0,2,1,185,52,59,37,1589,1985,8,4,13,0,23,66
Nathan Ake,BOU,EPL,D,38,3412,3,0,0,0,0,6,5,7,21,1459,1696,5,2,3,1,52,232
Cesar Azpilicueta,CHE,EPL,M/D,38,3403,4,0,0,5,0,118,21,27,16,2160,2483,21,5,10,1,50,75
Virgil van Dijk,LIV,EPL,D,38,3385,1,0,0,2,0,0,0,7,22,2724,3037,0,3,9,0,71,199
Bruno Ecuele Manga,CC,EPL,D,38,3375,0,0,0,1,1,20,2,6,11,622,956,2,0,9,0,18,172
Yunis Abdelhamid,REI,FRAN,D,37,3330,2,0,0,0,0,0,0,3,20,1301,1570,0,0,20,0,28,178
Jack Cork,BUR,EPL,M,37,3313,6,0,0,2,0,14,3,18,38,1079,1329,3,2,28,0,35,79
Wilfred Ndidi,LEI,EPL,M,38,3298,8,0,0,0,1,12,0,22,22,1586,1985,0,2,33,0,45,80
Simone Iacoponi,PAR,SERI,D,37,3270,4,0,0,0,0,30,1,9,30,801,1108,1,1,12,0,16,133
Christopher Schindler,HUD,EPL,D,37,3262,4,1,1,0,0,0,0,2,18,1286,1553,0,1,1,0,36,132
Mohamed Salah,LIV,EPL,F/M,38,3256,1,0,0,8,0,57,16,68,32,819,1079,6,16,79,2,322,4
Jorginho,CHE,EPL,M,37,3165,8,0,0,0,1,2,1,30,22,2783,3118,1,6,15,0,5,35
Nathan Redmond,SOU,EPL,M,38,3275,3,0,0,4,0,76,21,52,28,849,1125,20,7,90,0,151,21
Max Gradel,TOU,FRAN,F/M,36,3240,6,0,0,5,0,146,28,53,94,834,1123,16,10,88,1,200,25
Damian Suarez,GET,LIGA,M/D,36,3240,13,0,0,3,1,188,61,61,55,860,1323,29,3,22,0,8,51
Ben Chilwell,LEI,EPL,D,36,3240,4,0,0,4,0,132,22,45,44,1218,1684,18,2,49,0,57,129
Giovanni Di Lorenzo,EMP,SERI,D,36,3240,8,0,0,3,1,122,19,39,53,1386,1735,19,7,27,0,75,66
Jules Kounde,BDX,FRAN,D,36,3240,4,0,0,1,0,5,1,10,21,1536,1902,1,1,12,0,24,174
Laguardia,ALA,LIGA,D,36,3240,12,0,0,2,0,1,0,7,14,893,1267,0,3,0,0,35,224
David Luiz,CHE,EPL,D,36,3239,3,0,0,2,0,4,1,20,29,2306,2620,1,11,10,0,33,144
Jens Stryger Larsen,UDN,SERI,D,36,3235,6,0,0,4,0,79,20,31,14,1129,1417,18,4,11,0,25,82
Francesco Acerbi,LAZ,SERI,D,36,3220,3,1,1,1,0,6,1,10,41,1507,1734,1,2,9,0,27,156
Andrew Robertson,LIV,EPL,D,36,3219,4,0,0,11,2,135,21,51,16,1994,2397,20,15,28,0,90,47
Jose Campana,LEV,LIGA,M,36,3213,12,0,0,9,0,149,43,59,35,1567,1857,6,11,47,0,38,44
Nemanja Maksimovic,GET,LIGA,M,36,3211,5,0,0,0,0,4,0,12,11,581,769,0,0,10,0,36,29
Daniel Congre,MTP,FRAN,D,36,3203,5,0,1,2,0,6,1,9,28,1236,1504,1,1,3,0,17,99
Patrick van Aanholt,CRY,EPL,D,36,3197,3,0,0,2,0,43,11,35,14,1284,1608,5,7,21,0,65,81
Rodrigo De Paul,UDN,SERI,F/M,36,3193,7,0,0,8,2,205,58,97,94,1211,1584,21,15,78,0,57,11
Armando Izzo,TOR,SERI,D,36,3190,6,0,0,1,0,20,3,10,59,1355,1752,3,1,9,1,40,139
Yann M'Vila,ETI,FRAN,M,36,3170,5,0,1,1,0,7,3,24,33,1877,2190,2,1,10,0,4,78
Willy Boly,WLV,EPL,D,36,3168,2,0,1,0,0,0,0,11,14,1389,1717,0,3,13,0,34,172
Mikel Oyarzabal,RSO,LIGA,M,37,3159,2,0,0,2,2,64,17,45,38,683,924,8,7,46,1,143,23
Baptiste Santamaria,ANG,FRAN,M,37,3157,2,0,0,0,0,10,1,13,49,1184,1459,1,0,26,0,12,50
Lewis Dunk,BHA,EPL,D,36,3153,5,1,1,1,0,2,0,11,14,1233,1490,0,1,0,0,44,193
Alex Moreno,RV,LIGA,D,36,3139,5,0,0,1,3,103,15,31,44,839,1100,15,3,56,0,81,79
Gylfi Sigurdsson,EVE,EPL,M,38,3127,3,0,0,6,1,196,48,74,39,755,991,9,11,38,0,106,23
N'Golo Kante,CHE,EPL,M,36,3095,3,0,0,4,0,19,6,46,13,1776,2022,6,4,32,0,73,26
James McArthur,CRY,EPL,M,38,3072,7,0,0,6,0,15,3,31,39,1110,1401,3,5,20,0,90,44
Felipe Anderson,WHU,EPL,M,36,3051,3,0,0,4,1,121,34,65,52,1268,1668,15,10,75,0,111,12
Charlie Taylor,BUR,EPL,M/D,38,3240,2,0,0,1,0,119,22,11,48,851,1174,18,2,41,0,8,83
Jose Luis Morales,LEV,LIGA,M,37,3197,7,0,0,5,1,71,9,44,52,494,695,9,10,69,0,200,11
Ryan Fraser,BOU,EPL,M,38,3171,2,0,0,13,0,270,76,92,68,920,1196,33,27,24,0,102,20
Gerard Pique,BAR,LIGA,D,35,3150,6,0,0,2,0,0,0,6,21,2184,2390,0,2,12,1,31,148
Pedro Rebocho,GUI,FRAN,D,35,3150,4,0,0,7,0,239,59,51,33,1108,1399,29,11,22,0,18,69
Xavier Chavalerin,REI,FRAN,M,35,3150,8,0,0,2,0,105,29,48,10,1099,1369,8,4,23,0,14,31
Nacho,REV,LIGA,D,35,3150,10,0,0,3,1,148,24,42,36,979,1378,22,6,12,0,37,81
Faycal Fajr,CAE,FRAN,M,35,3150,6,0,0,4,0,208,53,53,85,1520,1864,10,5,30,0,15,16
Diego Carlos,NTE,FRAN,D,35,3149,8,0,0,0,0,5,2,9,26,1384,1680,2,1,6,0,38,182
Matt Doherty,WLV,EPL,M/D,38,3147,5,0,0,5,0,62,14,38,21,1003,1401,14,9,20,2,110,84
Dominique Heintz,FBG,BUND,D,35,3144,5,0,0,1,0,13,4,8,11,1385,1693,4,1,22,0,12,217
Vitorino Hilton,MTP,FRAN,D,35,3143,5,0,1,2,0,4,3,8,45,1204,1462,3,1,2,0,28,187
Matthias Zimmermann,DUS,BUND,M,35,3140,4,0,0,3,0,90,16,22,30,1061,1342,16,6,19,0,11,85
Jose Gaya,VAL,LIGA,D,35,3138,10,0,0,1,0,97,21,25,55,1188,1451,21,2,37,1,67,96
Dante,NIC,FRAN,D,35,3137,11,0,0,1,0,4,0,6,15,2097,2291,0,0,4,0,25,146
Valentin Rongier,NTE,FRAN,M,35,3137,3,0,0,5,0,100,39,80,29,1542,1866,5,7,34,0,54,14
Aaron Wan-Bissaka,CRY,EPL,M/D,35,3135,4,0,1,3,0,56,12,14,16,851,1165,12,4,61,0,30,129
Kalidou Koulibaly,NAP,SERI,D,35,3134,9,1,1,2,0,5,0,8,17,2231,2515,0,0,11,0,32,135
Calero,REV,LIGA,D,36,3130,7,0,0,0,0,4,0,5,12,1212,1450,0,1,11,0,21,164
Nicolas N'Koulou,TOR,SERI,M/D,35,3125,6,1,1,0,0,0,0,4,26,1206,1349,0,0,6,0,14,168
Ricardo Pereira,LEI,EPL,M/D,35,3125,7,0,0,6,0,104,15,33,48,1196,1533,15,10,68,1,79,106
Yuri Berchiche,ATH,LIGA,D,35,3120,9,0,1,2,1,102,20,19,78,1120,1367,20,3,32,0,39,71
Marc Roca,ESP,LIGA,M,35,3116,9,0,0,2,0,5,0,23,27,1700,1956,0,7,29,0,17,58
Danny da Costa,EF,BUND,D,35,3109,1,0,0,4,0,116,21,33,20,582,929,21,10,29,0,60,54
Cristiano Biraghi,FIO,SERI,D,35,3104,8,0,0,4,0,262,62,63,25,962,1277,36,11,15,0,33,90
Kiko Olivas,REV,LIGA,D,35,3102,6,0,0,0,0,0,0,4,37,1188,1349,0,0,19,0,19,166
Craig Cathcart,WAT,EPL,D,36,3098,2,0,0,0,1,3,0,1,8,1044,1280,0,0,2,0,21,179
Hugo Mallo,CEL,LIGA,D,35,3094,11,0,0,4,1,177,31,31,27,1112,1491,23,5,22,0,54,114
Ellyes Skhiri,MTP,FRAN,M,37,3091,5,0,0,2,0,6,2,23,34,1415,1650,2,1,31,0,28,36
Shane Duffy,BHA,EPL,D,35,3088,4,0,1,1,0,2,1,7,10,981,1305,1,0,5,1,75,243
James Tarkowski,BUR,EPL,D,35,3087,8,0,0,1,0,5,1,5,31,788,1134,1,0,7,0,46,236
Sadio Mane,LIV,EPL,F/M,36,3085,2,0,0,1,0,39,6,45,64,925,1183,6,7,51,1,205,8
Alaixys Romao,REI,FRAN,M,35,3075,8,0,1,3,0,6,2,10,80,1098,1392,2,4,27,0,28,64
Daniel Parejo,VAL,LIGA,M,36,3062,6,0,1,7,2,188,69,81,54,1900,2215,7,9,36,0,46,23
Moi Gomez,HUE,LIGA,M,36,3061,3,0,0,7,0,113,30,51,25,1176,1420,12,5,33,1,32,24
Joao Moutinho,WLV,EPL,M,38,3038,4,0,0,8,0,196,63,84,37,1581,1864,17,7,12,0,10,40
Jose Fonte,LIL,FRAN,D,35,3022,5,0,1,1,0,6,1,8,14,1882,2146,1,0,2,0,51,150
Matt Ritchie,NEW,EPL,M/D,36,2939,9,0,0,8,1,259,68,60,38,803,1098,36,8,15,0,50,61
James Maddison,LEI,EPL,F/M,36,2848,3,1,1,7,1,205,67,100,78,1175,1403,8,13,49,0,88,5
Kolo,ETI,FRAN,D,35,3094,6,0,0,3,0,36,11,13,11,1424,1736,11,1,10,0,31,110
Abdoulaye Doucoure,WAT,EPL,M,35,3062,7,0,0,6,0,11,2,38,13,1620,1942,2,8,32,0,82,54
Waldemar Anton,HAN,BUND,D,34,3060,4,0,0,0,0,5,1,5,19,1432,1713,1,0,17,0,32,167
Milan Skriniar,INT,SERI,D,34,3060,4,0,0,1,0,1,1,8,25,2194,2369,1,0,7,1,35,131
Joshua Kimmich,BAY,BUND,M/D,34,3060,4,0,0,13,4,254,74,82,51,2278,2518,17,21,38,1,58,33
Aissa Mandi,BET,LIGA,D,35,3060,10,0,0,1,0,19,4,16,22,2387,2577,4,3,7,0,24,67
Ryan Bennett,WLV,EPL,D,34,3060,12,0,0,0,0,1,0,9,10,1070,1345,0,1,2,0,24,124
Aymeric Laporte,MCI,EPL,D,35,3057,3,0,0,3,2,6,0,13,18,2769,2999,0,1,3,0,31,96
Maximilian Eggestein,BRE,BUND,M,34,3053,4,0,0,4,0,37,6,46,39,1253,1556,6,6,15,0,65,63
Filip Kostic,EF,BUND,M,35,3050,4,0,0,10,0,238,48,47,39,665,1031,34,16,64,0,99,36
Sean Morrison,CC,EPL,D,34,3040,6,0,0,3,0,5,0,22,20,463,737,0,3,8,0,128,199
Wilfried Zaha,CRY,EPL,F/M,34,3040,8,1,1,5,0,37,11,54,102,778,1006,11,6,114,5,237,1
Cote,EIB,LIGA,D,35,3034,9,0,0,1,2,260,69,56,17,1013,1488,47,7,45,0,13,99
Jonathan Tah,LEV,BUND,D,34,3029,3,0,0,1,0,3,2,6,15,2333,2599,2,1,17,0,27,134
Ludwig Augustinsson,BRE,BUND,D,34,3028,5,0,0,4,0,129,36,29,26,1229,1540,27,3,11,0,66,72
Nicolo Barella,CAG,SERI,M,34,3021,8,2,2,3,0,88,18,41,80,1433,1750,14,3,41,0,58,21
Andros Townsend,CRY,EPL,M,38,3016,1,0,0,4,0,163,41,61,56,808,1025,33,3,58,1,92,16
Paul Pogba,MUN,EPL,M,35,3009,6,0,0,9,0,28,3,55,69,1713,2068,3,7,60,0,114,36
Ruben Neves,WLV,EPL,M,35,3009,8,0,0,3,1,26,5,24,18,1577,1941,4,4,11,0,3,44
Declan Rice,WHU,EPL,M/D,34,3004,4,0,0,0,0,3,0,9,7,1312,1518,0,1,25,0,27,54
Thiago Mendes,LIL,FRAN,M,34,2992,10,0,0,5,0,136,50,61,63,1620,1909,3,6,25,0,8,41
Kai Havertz,LEV,BUND,M,35,2990,2,0,0,3,1,23,3,35,52,1676,1916,3,5,49,0,134,27
Danilo,BGN,SERI,D,34,2990,4,0,0,0,0,7,4,9,17,1117,1441,4,2,3,0,22,180
Jony,ALA,LIGA,F/M,36,2982,3,0,0,10,2,291,72,85,31,508,778,41,14,61,0,91,9
Domenico Criscito,GEN,SERI,D,34,2981,12,0,1,4,0,161,33,49,48,1058,1402,19,6,20,0,19,125
Djene Dakonam,GET,LIGA,D,34,2980,11,1,2,0,0,8,2,5,30,700,974,2,0,16,1,23,150
Ruben Alcaraz,REV,LIGA,M,34,2978,13,0,0,2,0,39,7,21,109,1431,1712,1,2,22,0,21,47
Houssem Aouar,LYO,FRAN,M,36,2978,2,0,0,7,0,7,2,45,52,1741,2001,2,9,51,1,113,19
William Troost-Ekong,UDN,SERI,D,34,2977,4,0,0,0,0,1,1,5,9,887,1082,1,1,2,0,22,181
Zeki Celik,LIL,FRAN,D,34,2976,5,0,1,5,1,87,19,34,27,973,1266,19,4,17,2,39,66
Joshua King,BOU,EPL,F/M,35,2970,3,0,0,3,4,43,8,38,45,579,803,8,10,64,0,171,13
Dimitrios Siovas,LGN,LIGA,D,34,2963,5,0,0,0,0,11,2,10,10,976,1350,2,3,12,0,39,151
Ricardo Rodriguez,MIL,SERI,D,34,2961,5,0,0,3,0,85,23,19,19,1570,1800,19,1,12,0,10,74
Suso,MIL,SERI,F/M,34,2940,8,1,1,10,1,227,53,94,76,1223,1481,41,19,61,0,109,1
Remo Freuler,ATA,SERI,M,34,2940,4,0,0,6,0,16,4,44,69,1878,2125,4,7,26,1,59,40
Nicola Murru,SMP,SERI,D,35,2937,9,0,0,5,0,109,26,31,32,1267,1617,25,9,16,0,22,74
Daniel Baier,AUG,BUND,M,34,2911,7,0,0,1,0,20,2,21,51,1243,1628,2,1,15,0,9,49
Hans Hateboer,ATA,SERI,D,35,2973,5,0,0,5,0,75,19,48,13,1334,1579,18,7,14,0,96,39
Kenny Lala,STR,FRAN,D,33,2970,4,0,0,9,0,199,48,62,36,1281,1591,26,7,35,0,27,48
Issa Diop,WHU,EPL,D,33,2970,4,0,0,0,0,0,0,4,16,975,1134,0,0,6,0,17,155
Bjorn Engels,REI,FRAN,D,33,2970,4,0,0,1,0,4,1,11,17,1099,1311,1,2,6,0,29,178
Matias Agustin Silvestre,EMP,SERI,D,33,2970,6,0,0,0,0,3,0,6,21,1226,1455,0,1,1,0,28,157
Michael Keane,EVE,EPL,D,33,2969,2,0,0,2,0,4,1,8,7,1288,1594,1,2,6,0,48,182
Christian Gunter,FBG,BUND,D,33,2969,3,1,1,5,0,196,52,49,27,755,985,31,8,40,0,43,39
Lucas Digne,EVE,EPL,D,35,2966,5,0,1,4,1,280,83,71,32,1108,1457,38,13,14,0,33,94
Alvaro,VIL,LIGA,D,33,2965,13,2,2,2,0,14,5,9,32,1196,1496,5,2,0,0,20,175
Riccardo Gagliolo,PAR,SERI,D,33,2956,7,0,0,2,0,17,3,16,40,877,1158,3,3,4,0,23,187
Federico Chiesa,FIO,SERI,F/M,36,2947,4,0,0,3,0,89,13,54,58,580,806,13,10,76,3,238,5
Etienne Capoue,WAT,EPL,M,33,2946,14,0,1,3,2,5,1,10,58,1476,1749,1,2,32,0,16,92
Stefan Mitrovic,STR,FRAN,D,33,2938,8,0,2,0,0,0,0,2,9,1225,1355,0,0,3,0,19,134
Wesley Lautoa,DIJ,FRAN,D,33,2935,11,1,1,0,0,0,0,3,36,1331,1538,0,0,13,0,17,104
Franck Kessie,MIL,SERI,M,33,2931,8,0,0,1,0,27,4,42,30,1453,1669,4,2,44,0,95,46
Marc Bartra,BET,LIGA,D,33,2930,4,0,0,0,0,5,0,4,39,1990,2266,0,0,13,0,23,129
Christopher Jullien,TOU,FRAN,D,33,2925,7,0,0,0,0,0,0,10,17,1168,1411,0,4,4,0,49,198
Toby Alderweireld,TOT,EPL,D,34,2923,3,0,0,0,0,6,2,7,1,2087,2358,2,1,1,0,19,167
Nikola Milenkovic,FIO,SERI,D,33,2919,7,1,1,0,0,21,3,3,19,1259,1581,3,0,11,0,28,136
Remy Cabella,ETI,FRAN,M,33,2910,4,1,1,4,0,83,18,58,66,1561,1817,15,6,55,0,136,3
Flavien Tait,ANG,FRAN,M,35,2905,2,0,0,7,0,193,49,72,69,1002,1274,15,10,77,1,106,12
Malang Sarr,NIC,FRAN,D,34,2905,1,0,0,1,0,10,3,6,30,1810,2015,3,2,9,0,6,95
Inigo Martinez,ATH,LIGA,D,33,2903,12,0,0,0,0,15,2,7,55,1123,1440,2,1,4,1,37,143
Artur Ionita,CAG,SERI,M,36,2888,4,0,1,2,0,25,6,18,13,911,1094,6,2,15,1,54,27
Marten De Roon,ATA,SERI,M,34,2887,7,0,0,3,0,26,6,28,14,1842,2104,6,1,8,0,22,45
Maximilian Arnold,WOL,BUND,M,33,2879,7,0,0,6,1,134,34,47,81,1056,1308,9,8,24,1,26,43
Thorgan Hazard,BM,BUND,M,33,2877,1,0,0,10,2,182,46,73,62,882,1147,13,13,71,0,130,8
Antonio Rudiger,CHE,EPL,D,33,2874,7,0,0,0,0,1,0,8,15,2321,2537,0,2,4,0,25,95
Adrien Tameze,NIC,FRAN,M,36,2868,6,0,0,3,0,5,1,24,35,1614,1814,1,1,40,0,20,51
Senad Lulic,LAZ,SERI,M,34,2840,5,0,0,1,0,139,37,50,27,1007,1289,36,6,39,0,71,45
Portu,GIR,LIGA,M,34,2833,3,0,0,2,1,72,15,33,42,461,621,15,8,32,0,147,1
Davy Klaassen,BRE,BUND,M,33,2823,5,0,0,4,0,38,10,39,24,886,1188,8,6,16,1,39,41
Roberto Pereyra,WAT,EPL,M,33,2821,3,0,0,1,0,40,8,35,36,933,1121,5,7,40,1,125,20
Alejandro Dario Gomez,ATA,SERI,F/M,34,2820,5,0,0,10,4,315,97,109,91,1316,1558,29,19,75,0,105,4
Allan Saint-Maximin,NIC,FRAN,M,33,2820,2,0,0,3,1,81,23,57,64,623,826,16,9,136,1,182,3
Hakan Calhanoglu,MIL,SERI,F/M,35,2807,3,0,0,6,0,146,25,80,38,1424,1671,6,8,31,0,81,10
Rade Krunic,EMP,SERI,M,33,2783,7,0,1,7,0,19,3,50,76,1050,1298,3,12,46,0,105,31
Ruben Duarte,ALA,LIGA,D,33,2775,10,0,1,0,1,80,26,25,61,618,920,21,1,5,0,19,110
Simone Missiroli,SPL,SERI,M,34,2750,9,0,0,0,0,14,6,27,55,1241,1498,6,1,20,0,16,41
Nanitamo Jonathan Ikone,LIL,FRAN,M,37,2724,3,0,0,8,0,23,4,53,28,629,862,4,10,71,0,84,4
Jordi Alba,BAR,LIGA,D,36,2988,6,0,0,8,1,52,11,47,19,2019,2360,11,12,15,1,97,56
Eden Hazard,CHE,EPL,M,37,2925,2,0,0,15,0,145,35,98,104,1534,1819,13,18,136,0,240,4
Saul Niguez,ATL,LIGA,M,33,2925,10,0,0,1,1,49,4,15,26,1168,1483,4,3,34,0,71,74
Emil Krafth,AMN,FRAN,D,34,2883,2,0,0,1,0,70,13,16,32,771,1043,13,4,7,0,21,80
Hamari Traore,REN,FRAN,D,33,2883,7,0,0,2,2,78,18,35,26,1187,1444,18,5,25,0,41,73
Kelvin Adou Amian,TOU,FRAN,D,32,2880,6,0,0,1,0,21,4,8,11,753,969,4,2,24,0,14,102
Joachim Andersen,SMP,SERI,D,32,2880,7,0,0,1,0,1,0,8,13,1801,2028,0,1,14,0,17,144
Thomas Foket,REI,FRAN,M/D,32,2880,7,0,0,0,0,54,9,13,42,811,1058,9,1,11,0,19,69
Kamil Glik,MON,FRAN,D,32,2880,9,0,0,0,0,2,0,2,37,1324,1581,0,0,2,0,29,196
Joan Jordan,EIB,LIGA,M,36,2878,10,0,0,4,1,177,66,68,37,1404,1684,15,4,46,0,35,17
Aaron,MAI,BUND,D,33,2878,3,0,0,3,1,235,52,63,28,980,1196,27,7,45,1,30,59
Axel Witsel,DOR,BUND,M,33,2873,2,0,0,1,1,2,0,16,50,2239,2405,0,3,28,0,35,46
Rober,LEV,LIGA,D,33,2855,6,0,0,0,0,1,1,8,13,893,1095,1,1,10,0,26,123
Jordan Veretout,FIO,SERI,M,32,2853,12,0,1,3,0,137,35,75,37,1429,1752,5,8,18,0,24,49
Daniel Caligiuri,SKE,BUND,F/M,32,2850,9,0,0,3,0,187,49,64,38,835,1210,11,9,67,1,72,65
Christophe Herelle,NIC,FRAN,D,32,2848,9,0,1,0,0,3,2,5,46,1823,2066,2,0,8,0,22,150
Anthony Briancon,NIM,FRAN,M/D,32,2835,9,0,1,2,0,3,2,8,24,1027,1270,2,0,2,0,27,172
Bruno Alves,PAR,SERI,D,32,2834,8,1,1,1,0,16,4,9,11,914,1166,4,2,3,0,28,199
Rolando Mandragora,UDN,SERI,M,34,2833,8,0,1,1,0,45,11,25,38,921,1093,5,3,4,0,25,52
Frederic Guilbert,CAE,FRAN,D,33,2827,9,1,1,2,0,85,12,22,34,765,1027,12,3,27,0,13,104
Idrissa Gueye,EVE,EPL,M,33,2825,6,0,0,2,0,13,3,18,38,1468,1741,3,0,23,0,18,44
Pablo Martinez,STR,FRAN,D,32,2818,7,0,0,1,0,13,2,4,47,1330,1580,2,1,6,1,19,126
Theodor Gebre Selassie,BRE,BUND,D,32,2815,2,0,0,2,0,39,8,21,32,1070,1342,8,1,14,1,53,88
Dennis Praet,SMP,SERI,M,33,2805,6,0,0,3,0,99,24,34,38,1450,1669,12,6,35,0,68,26
Pere Pons,GIR,LIGA,M,34,2796,4,0,0,2,0,11,2,17,49,929,1184,2,4,27,0,28,35
Tomas Rincon,TOR,SERI,M,33,2793,15,0,0,1,0,31,7,28,40,1053,1334,6,0,26,0,16,63
Piotr Zielinski,NAP,SERI,M,35,2791,5,0,0,2,0,36,5,58,27,1715,1907,5,5,35,0,84,15
Marcelo,LYO,FRAN,D,32,2790,6,0,0,1,0,3,1,10,10,2018,2301,1,4,7,0,49,139
Otavio,BDX,FRAN,M,32,2790,3,0,0,2,0,5,0,10,23,1615,1816,0,0,15,0,3,48
Moussa Niakhate,MAI,BUND,D,33,2789,3,0,0,1,0,6,0,10,20,1233,1494,0,0,8,0,17,135
Pulido,HUE,LIGA,D,32,2788,9,0,2,3,0,16,5,12,32,694,921,5,1,5,0,40,149
Jonny,WLV,EPL,M/D,33,2777,6,0,0,1,0,46,9,31,34,836,1074,9,2,30,1,56,53
Tim Leibold,FCN,BUND,D,32,2767,6,0,1,2,0,94,23,37,42,968,1241,10,4,24,1,35,50
Manuel Lazzari,SPL,SERI,M/D,32,2752,7,0,0,8,0,231,68,55,59,817,995,68,10,64,1,70,39
Jamaal Lascelles,NEW,EPL,D,32,2745,4,0,0,1,0,2,0,3,9,847,1104,0,2,1,0,32,212
Rodrigo,ATL,LIGA,M,34,2742,5,0,0,1,0,2,0,17,43,1756,1927,0,2,18,0,30,67
Georginio Wijnaldum,LIV,EPL,M,35,2736,3,0,0,0,0,13,3,25,30,1611,1768,1,2,29,0,42,24
Terence Kongolo,HUD,EPL,D,32,2721,4,0,0,1,0,28,4,9,25,896,1150,4,1,10,0,30,98
Sergi Darder,ESP,LIGA,M,34,2717,6,1,1,2,0,56,20,37,30,986,1235,8,6,33,0,45,25
Mauro Arambarri,GET,LIGA,M,33,2685,8,0,0,2,0,24,4,18,57,513,739,3,2,34,1,26,33
Richarlison,EVE,EPL,F/M,35,2678,5,0,1,1,1,47,3,20,73,542,793,3,2,38,1,155,39
Ever Banega,SEV,LIGA,M,32,2676,15,1,2,4,1,131,31,53,67,1786,2091,7,4,54,0,18,25
Pol Lirola,SAS,SERI,D,34,2886,2,0,0,6,0,122,25,40,10,1068,1351,25,10,40,0,62,75
Ismael Benaccer,EMP,SERI,M,36,2869,7,0,0,5,0,73,15,31,57,1602,1853,2,4,62,0,10,26
Mohamed Fares,SPL,SERI,M/D,34,2857,12,0,0,0,0,153,32,38,40,859,1089,30,2,35,0,54,60
Bernardo Silva,MCI,EPL,M,36,2853,3,0,0,7,1,71,12,71,24,1469,1705,10,10,48,1,178,24
Bakaye Dibassy,AMN,FRAN,D,33,2850,5,0,1,1,0,50,9,7,14,930,1197,9,0,15,0,21,90
Enis Bardhi,LEV,LIGA,M,36,2841,6,0,0,4,0,72,14,29,47,843,1103,7,7,43,0,46,33
Ashley Westwood,BUR,EPL,M/D,34,2822,5,0,0,7,1,87,31,42,22,1084,1418,13,10,8,0,26,40
Aleksandar Kolarov,ROM,SERI,D,32,2815,6,1,1,2,2,176,53,52,36,1249,1550,26,8,29,0,37,69
Mario Hermoso,ESP,LIGA,D,32,2806,7,0,0,0,1,1,0,5,29,1350,1610,0,1,9,0,26,167
Leandro Cabrera,GET,LIGA,D,32,2793,9,1,1,0,0,28,6,7,14,486,960,6,0,2,0,41,214
Lukas Muhl,FCN,BUND,D,31,2790,4,0,0,0,0,3,1,4,7,1224,1452,1,1,7,0,19,134
Robin Knoche,WOL,BUND,D,31,2790,0,0,0,0,0,1,1,1,17,1745,2034,1,0,8,0,27,132
Steve Cook,BOU,EPL,D,31,2787,3,0,0,1,0,11,3,11,27,1189,1500,3,2,5,0,33,200
Damien Da Silva,REN,FRAN,D,32,2784,4,0,0,1,0,2,1,4,22,1222,1392,1,0,8,0,26,146
Raheem Sterling,MCI,EPL,F/M,34,2776,3,0,0,10,3,75,12,66,44,1084,1263,9,12,82,2,298,4
Teji Savanier,NIM,FRAN,M,31,2775,7,0,1,13,2,243,74,79,95,1111,1560,6,17,74,0,19,48
Juanpe,GIR,LIGA,D,33,2769,8,0,0,0,0,4,0,5,10,1262,1548,0,0,10,0,36,131
Sergi Gomez,SEV,LIGA,D,32,2766,1,0,0,0,0,2,2,5,7,1233,1457,2,0,0,0,22,129
Jordi Amat,RV,LIGA,D,31,2764,10,0,0,0,0,0,0,5,9,1057,1282,0,1,24,0,10,119
Pierre-Emile Hojbjerg,SOU,EPL,M,31,2764,7,1,2,3,0,29,8,28,48,1487,1794,7,4,23,0,45,28
Julian Brandt,LEV,BUND,M,34,2763,0,0,0,11,1,152,39,89,23,1470,1799,12,15,59,0,122,8
German Pezzella,FIO,SERI,D,31,2762,6,0,0,1,0,1,0,6,27,1316,1534,0,2,4,0,37,151
Marcos Alonso,CHE,EPL,M/D,31,2761,6,0,0,4,0,98,9,33,37,1600,1884,9,4,17,2,74,84
Alessio Romagnoli,MIL,SERI,D,31,2759,6,0,1,0,0,2,1,6,13,1586,1738,1,0,1,0,17,163
Raphael Varane,RMD,LIGA,D,32,2755,0,0,1,0,0,2,1,4,12,1519,1707,1,1,5,0,30,138
Davide Biraschi,GEN,SERI,D,33,2753,3,0,1,0,0,50,8,8,31,723,1063,8,2,45,0,5,95
Jason Denayer,LYO,FRAN,M/D,31,2748,2,0,0,0,1,2,0,5,9,1847,1970,0,0,10,0,20,118
Valentino Lazaro,HB,BUND,F/M,31,2743,6,0,0,6,1,156,45,55,28,920,1205,17,12,34,0,45,54
Fabian Orellana,EIB,LIGA,M,33,2738,4,0,0,5,0,105,22,48,59,906,1164,15,7,81,0,178,2
Wahbi Khazri,ETI,FRAN,F/M,31,2733,10,0,1,6,1,190,50,70,51,619,830,6,9,44,1,138,5
Thomas Monconduit,AMN,FRAN,M,32,2731,6,0,0,1,0,11,4,29,37,1098,1410,1,3,33,0,14,72
Bernardo Espinosa,GIR,LIGA,D,31,2729,2,2,2,1,0,0,0,9,6,1197,1392,0,1,3,0,47,194
