Player Name,Team,League,POS,GP,MIN,Y,YR,R,A,SA,CR,ACR,CC,FS,P,AP,ACRO,BCC,DR,APW,TBOX,ECL
Renato Steffen,WOL,BUND,M,31,1504,4,0,0,1,0,30,9,14,28,392,515,8,4,19,0,36,13
Jaume Costa,VIL,LIGA,D,21,1498,6,0,0,0,0,44,8,8,23,641,778,8,1,10,0,20,44
Andrei Girotto,NTE,FRAN,M,20,1478,4,2,3,0,0,4,2,6,23,634,800,2,0,2,0,9,40
Goncalo Guedes,VAL,LIGA,F/M,25,1469,2,0,0,3,0,52,9,21,50,454,598,8,5,36,0,68,1
Afriyie Acquah,EMP,SERI,M,27,1443,4,0,0,0,0,33,3,10,32,543,662,3,1,26,0,32,14
Sebastian Rudy,SKE,BUND,M,22,1432,4,0,0,0,0,18,5,15,17,540,674,1,2,6,0,14,13
Yves Bissouma,BHA,EPL,M,28,1768,5,0,0,0,0,8,2,13,25,585,715,0,0,46,0,35,25
Alvaro Garcia,RV,LIGA,M,35,1759,3,0,0,2,0,77,15,20,17,290,419,14,4,10,0,69,26
Paolo Farago,CAG,SERI,M/D,26,1697,7,1,1,1,0,60,15,20,23,563,733,15,3,12,0,53,33
Joaquin,BET,LIGA,M,30,1694,5,0,0,0,1,92,28,45,32,717,846,16,3,47,0,63,30
Paul Lasne,MTP,FRAN,M,34,1690,5,0,0,0,1,39,9,23,23,684,837,9,3,11,0,24,19
Kevin Wimmer,HAN,BUND,D,22,1679,5,0,0,0,0,1,1,7,6,835,1034,1,0,0,0,9,59
Lorenzo Tonelli,SMP,SERI,D,19,1653,6,0,0,0,0,0,0,1,37,1053,1186,0,0,6,0,12,91
Julian Baumgartlinger,LEV,BUND,M,22,1647,2,0,0,1,0,2,0,10,19,1353,1508,0,1,18,0,24,21
Ander Capa,ATH,LIGA,D,25,1637,9,0,0,0,0,50,7,12,16,505,685,7,0,20,0,36,38
Eduard Lowen,FCN,BUND,M,22,1622,3,0,0,2,0,16,4,15,26,525,697,3,3,29,0,21,17
Harry Winks,TOT,EPL,M,26,1592,4,0,0,0,1,8,1,7,15,1274,1388,1,0,17,0,9,19
Santiago Caseres,VIL,LIGA,M,23,1588,10,0,0,1,0,0,0,15,13,783,862,0,2,11,0,5,23
Charlie Daniels,BOU,EPL,D,21,1585,4,0,0,0,0,27,9,11,7,661,840,9,0,12,0,31,43
Mario Pasalic,ATA,SERI,M,32,1585,1,0,0,3,0,13,3,22,11,809,975,3,1,16,0,53,11
Darko Brasanac,ALA,LIGA,M,24,1581,5,0,0,1,0,14,4,9,15,494,619,2,0,12,0,18,18
Jonathan de Guzman,EF,BUND,M,28,1561,4,0,0,6,0,108,27,37,17,657,831,8,9,13,0,18,12
Angelo Fulgini,ANG,FRAN,M,30,1557,1,0,0,1,0,44,12,35,44,550,711,2,3,18,1,64,11
Lee Peltier,CC,EPL,D,20,1543,4,0,0,0,1,6,3,2,6,206,342,3,0,3,0,4,53
Joel Matip,LIV,EPL,D,22,1535,3,0,0,0,0,0,0,3,17,1166,1341,0,1,6,0,20,76
Gen Shoji,TOU,FRAN,D,17,1530,2,0,0,0,0,0,0,5,7,558,666,0,2,4,0,1,51
Raphael Guerreiro,DOR,BUND,M/D,23,1529,2,0,0,6,3,65,15,38,21,906,1060,1,8,31,0,65,10
Daryl Janmaat,WAT,EPL,D,18,1522,3,0,0,2,0,61,14,13,1,454,599,14,1,12,0,21,60
Maya Yoshida,SOU,EPL,D,17,1519,0,0,0,1,0,0,0,5,7,421,556,0,2,2,0,22,100
Vincenzo Grifo,FBG,BUND,M,17,1518,1,0,0,3,1,70,17,35,19,574,728,6,2,32,0,61,9
Giangiacomo Magnani,SAS,SERI,D,19,1514,2,0,0,1,0,0,0,4,11,776,899,0,0,0,0,4,99
Moussa Doumbia,REI,FRAN,M,27,1510,5,0,0,0,0,35,10,19,64,458,575,9,4,30,1,46,6
Fode Ballo-Toure,MON,FRAN,M/D,17,1505,4,0,0,3,0,71,16,17,22,452,568,16,4,27,0,12,29
Federico Fernandez,NEW,EPL,D,19,1482,2,0,0,1,0,5,2,5,7,482,611,2,1,0,0,18,102
Danilo,NIC,FRAN,M,21,1479,1,0,1,0,0,2,1,12,33,543,636,1,2,33,0,32,21
Leander Dendoncker,WLV,EPL,M,19,1469,1,0,0,0,0,7,1,7,11,482,607,1,1,12,0,34,29
Matteo Scozzarella,PAR,SERI,M,22,1468,8,0,0,3,0,72,16,20,11,513,623,2,6,6,0,0,30
Juanfran,LGN,LIGA,D,23,1459,0,0,0,1,0,95,31,23,18,332,456,29,1,13,0,18,25
Ibai Gomez,ALA,LIGA,M,18,1456,0,0,0,2,0,62,17,22,9,362,501,13,3,13,0,31,14
Sergio Postigo,LEV,LIGA,D,21,1450,4,0,1,1,0,0,0,4,4,383,493,0,1,0,0,19,77
Jean Zimmer,DUS,BUND,M/D,18,1439,2,0,0,2,1,60,25,34,24,326,459,11,2,7,0,18,23
Linton Maina,HAN,BUND,M,20,1425,1,0,0,3,0,26,6,16,14,320,419,6,5,19,0,47,4
Mario Rui,NAP,SERI,D,20,1419,4,1,1,1,0,85,13,26,17,915,1083,12,3,11,0,17,29
Alejandro Galvez,RV,LIGA,D,17,1418,6,0,0,0,0,1,0,4,13,558,688,0,1,1,0,12,69
Stefan Savic,ATL,LIGA,D,18,1399,3,1,1,2,0,1,0,3,6,444,544,0,1,1,0,14,64
Kingsley Coman,BAY,BUND,M,21,1388,2,0,0,4,0,55,14,28,41,525,618,14,7,59,0,95,2
Cengiz Under,ROM,SERI,F/M,25,1368,1,0,0,6,1,63,16,31,29,389,496,11,5,18,0,60,3
Valon Behrami,UDN,SERI,M/D,19,1367,6,0,0,0,0,3,0,6,34,381,463,0,0,5,0,7,25
Romulo,GEN,SERI,M,17,1357,0,1,1,2,1,103,24,24,18,406,510,9,2,17,0,17,16
Sebastian Kerk,FCN,BUND,M,21,1187,0,0,0,1,0,95,26,24,11,264,359,5,3,4,0,16,15
Kalidou Sidibe,TOU,FRAN,M,19,1180,7,0,0,0,0,0,0,5,12,390,525,0,0,3,0,8,24
Mikel San Jose,ATH,LIGA,D,33,1716,7,0,0,0,0,11,5,16,8,534,707,5,3,5,0,34,34
Mijat Gacinovic,EF,BUND,M,30,1674,3,0,0,1,0,25,5,19,43,430,601,2,4,28,1,46,8
Mouctar Diakhaby,VAL,LIGA,D,22,1574,9,0,0,0,0,0,0,0,9,592,696,0,0,5,0,16,94
Alfredo Morales,DUS,BUND,M,24,1549,7,0,0,1,0,4,1,8,15,518,693,1,2,3,0,32,29
Andre Zambo Anguissa,FUL,EPL,M,22,1519,1,1,1,0,0,2,1,7,18,911,1042,1,0,42,0,8,29
Pablo De Blasis,EIB,LIGA,M,24,1517,3,0,1,0,0,65,17,22,11,451,641,17,4,8,0,25,19
Fran Beltran,CEL,LIGA,M,30,1512,3,0,0,0,0,4,0,10,14,783,859,0,2,10,0,11,14
Cheik Omar Traore,GUI,FRAN,D,20,1505,3,0,0,0,0,71,11,12,10,289,416,11,0,16,0,21,34
Cedric Soares,SOU,EPL,D,18,1494,4,0,0,2,0,64,15,12,6,435,596,14,2,7,0,16,50
Douglas Luiz,GIR,LIGA,M,23,1487,7,0,0,0,0,16,3,10,30,615,728,1,1,23,0,6,23
Filippo Romagna,CAG,SERI,D,18,1473,2,0,0,0,0,3,0,0,14,598,676,0,0,0,0,7,67
Matthias Ostrzolek,HAN,BUND,D,18,1466,2,0,0,0,0,28,7,8,25,465,619,7,0,4,0,11,38
Marvin Bakalorz,HAN,BUND,M,25,1464,5,0,0,0,1,8,1,8,25,299,394,1,1,10,1,18,44
Valentin Rosier,DIJ,FRAN,M,18,1458,2,0,0,3,0,27,7,11,19,558,665,7,1,16,0,13,34
Duje Caleta-Car,MAR,FRAN,D,19,1456,1,0,2,0,0,1,0,1,5,666,784,0,0,0,0,24,77
Julian Weigl,DOR,BUND,M,18,1455,3,0,0,0,0,2,0,2,16,1123,1205,0,0,6,0,3,53
Pascal Stenzel,FBG,BUND,D,21,1451,4,1,1,2,0,28,11,16,10,604,737,11,3,6,0,6,45
Juraj Kucka,PAR,SERI,M,17,1445,3,1,1,3,0,19,5,13,24,360,519,4,3,14,0,20,34
Neymar,PSG,FRAN,F/M,17,1441,2,0,0,7,3,56,17,42,58,798,984,2,13,74,0,124,1
Javi Galan,HUE,LIGA,M/D,16,1440,7,0,0,2,0,68,14,17,22,258,396,14,4,29,0,17,37
Andrew Surman,BOU,EPL,M,18,1439,2,0,0,0,0,1,1,10,6,727,836,1,1,3,0,8,32
Gabriel Silva,ETI,FRAN,D,19,1432,1,0,0,2,0,34,4,7,30,348,429,4,2,9,0,10,52
Stuart Armstrong,SOU,EPL,M,29,1431,2,0,0,2,1,25,4,29,21,482,613,1,1,18,0,41,11
Younousse Sankhare,BDX,FRAN,M,21,1415,6,0,0,3,0,1,1,18,34,450,584,1,1,26,0,27,4
Juninho Bacuna,HUD,EPL,M,21,1415,4,0,0,0,0,34,9,18,22,540,715,3,3,25,0,10,11
Adil Rami,MAR,FRAN,D,16,1414,2,0,0,1,0,2,0,6,10,703,843,0,2,4,0,21,50
Arturo Calabresi,BGN,SERI,D,18,1413,8,0,0,0,0,20,8,10,11,483,604,8,0,9,0,3,58
Filip Bradaric,CAG,SERI,M,26,1412,5,0,0,1,0,8,3,8,7,838,977,1,0,0,0,9,45
Roberto Soriano,BGN,SERI,F/M,16,1409,5,0,0,2,0,16,5,23,17,471,576,5,2,18,1,50,11
Ander Herrera,MUN,EPL,M,22,1404,4,0,0,3,0,6,1,15,20,860,980,1,3,12,0,20,21
Stefan Posch,HOF,BUND,D,17,1404,5,0,0,0,0,4,2,1,11,869,988,2,1,1,0,10,54
Naby Keita,LIV,EPL,M,25,1394,0,0,0,1,2,5,0,9,16,889,1005,0,1,23,0,54,12
Koffi Djidji,TOR,SERI,D,17,1388,2,0,0,0,0,3,0,0,3,490,591,0,0,15,0,1,59
Leo Stulac,PAR,SERI,M,25,1383,3,0,1,2,0,49,13,20,26,526,613,2,2,7,0,1,30
Ruben Pardo,RSO,LIGA,M,24,1373,3,0,0,2,0,90,32,38,10,667,805,7,5,8,0,7,8
Naldo,ESP,LIGA,D,16,1366,3,0,0,1,0,0,0,2,4,488,600,0,1,2,0,15,111
Helder Costa,WLV,EPL,F/M,25,1345,3,0,0,2,1,50,3,17,23,360,442,2,3,23,0,36,5
