Name,Nationality,Team,Tackles,Interceptions,Clearances,Errors lead to shot,Dribbled past,Blocked shots,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Key passes,Yellow cards,Red cards,Minutes played,Fouls,Was fouled
Marcos Rojo,Argentina,Manchester Utd,5.0,6.0,9.0,0.0,5.0,2.0,7.0,47.0,3.0,75.0,10.0,53.0,90.0,34.0,124.0,73.0,52.0,38.0,0.0,2.0,0.0,211.0,1.0,3.0
Phil Jones,England,Manchester Utd,19.0,23.0,62.0,3.0,5.0,11.0,32.0,68.0,46.0,72.0,78.0,70.0,698.0,56.0,754.0,93.0,494.0,204.0,3.0,1.0,0.0,1262.0,10.0,8.0
Mamadou Sakho,France,Crystal Palace,25.0,41.0,132.0,2.0,7.0,16.0,45.0,70.0,51.0,58.0,96.0,63.0,1171.0,150.0,1321.0,89.0,793.0,378.0,6.0,2.0,0.0,2417.0,13.0,5.0
Jonny Evans,Northern Ireland,Leicester City,24.0,33.0,146.0,3.0,5.0,10.0,41.0,59.0,72.0,65.0,113.0,63.0,872.0,157.0,1029.0,85.0,673.0,200.0,5.0,2.0,0.0,1994.0,17.0,21.0
Gary Cahill,England,Chelsea,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,16.0,2.0,18.0,89.0,5.0,11.0,0.0,0.0,0.0,22.0,0.0,0.0
Joe Gomez,England,Liverpool,17.0,14.0,39.0,0.0,6.0,5.0,30.0,59.0,24.0,56.0,54.0,57.0,689.0,98.0,787.0,88.0,468.0,223.0,7.0,2.0,0.0,1067.0,9.0,12.0
Yerry Mina,Colombia,Everton,14.0,8.0,50.0,2.0,3.0,5.0,19.0,54.0,38.0,58.0,57.0,57.0,424.0,80.0,504.0,84.0,301.0,123.0,3.0,3.0,0.0,892.0,5.0,13.0
Jamaal Lascelles,England,Newcastle Utd,32.0,39.0,213.0,1.0,3.0,28.0,42.0,65.0,92.0,67.0,134.0,66.0,847.0,257.0,1104.0,77.0,655.0,192.0,3.0,4.0,0.0,2745.0,9.0,16.0
Willy Boly,France,Wolves,85.0,72.0,172.0,6.0,22.0,32.0,112.0,63.0,136.0,68.0,248.0,65.0,1389.0,326.0,1715.0,81.0,862.0,527.0,11.0,2.0,1.0,3168.0,14.0,29.0
Lewis Dunk,England,Brighton,42.0,46.0,193.0,3.0,22.0,38.0,55.0,52.0,120.0,66.0,175.0,61.0,1233.0,257.0,1490.0,83.0,892.0,341.0,11.0,5.0,1.0,3153.0,14.0,22.0
Florian Lejeune,France,Newcastle Utd,25.0,21.0,44.0,0.0,13.0,5.0,33.0,57.0,31.0,65.0,64.0,60.0,429.0,134.0,563.0,76.0,282.0,148.0,6.0,0.0,0.0,1055.0,5.0,11.0
Steve Cook,England,Bournemouth,36.0,50.0,198.0,1.0,7.0,21.0,63.0,71.0,126.0,63.0,189.0,65.0,1190.0,311.0,1501.0,79.0,811.0,382.0,11.0,3.0,0.0,2787.0,27.0,18.0
Shane Duffy,Republic of Ireland,Brighton,35.0,36.0,243.0,3.0,11.0,47.0,50.0,62.0,187.0,72.0,237.0,70.0,981.0,324.0,1305.0,75.0,781.0,201.0,7.0,4.0,1.0,3088.0,10.0,22.0
Christian Kabasele,Belgium,Watford,25.0,38.0,106.0,0.0,13.0,16.0,39.0,54.0,61.0,58.0,100.0,56.0,408.0,143.0,551.0,74.0,304.0,104.0,2.0,2.0,1.0,1587.0,14.0,22.0
Ben Mee,England,Burnley,54.0,48.0,233.0,3.0,9.0,50.0,78.0,67.0,149.0,59.0,227.0,61.0,1124.0,377.0,1501.0,75.0,702.0,424.0,9.0,9.0,0.0,3420.0,18.0,27.0
James Tomkins,England,Crystal Palace,33.0,34.0,182.0,1.0,13.0,10.0,47.0,59.0,91.0,50.0,138.0,53.0,923.0,188.0,1111.0,83.0,665.0,258.0,7.0,6.0,0.0,2562.0,12.0,16.0
Issa Diop,France,West Ham,68.0,64.0,156.0,3.0,20.0,36.0,89.0,68.0,76.0,61.0,165.0,65.0,974.0,159.0,1133.0,86.0,699.0,275.0,4.0,4.0,0.0,2970.0,16.0,18.0
Fabian Schär,Switzerland,Newcastle Utd,60.0,67.0,137.0,2.0,26.0,16.0,90.0,57.0,65.0,50.0,155.0,54.0,677.0,317.0,994.0,68.0,407.0,272.0,11.0,12.0,0.0,2003.0,19.0,28.0
Christopher Schindler,Germany,Huddersfield,61.0,70.0,134.0,3.0,20.0,34.0,79.0,61.0,137.0,56.0,216.0,58.0,1285.0,266.0,1551.0,83.0,1009.0,276.0,2.0,4.0,1.0,3262.0,18.0,26.0
Angelo Ogbonna,Italy,West Ham,31.0,35.0,99.0,0.0,9.0,19.0,39.0,59.0,79.0,68.0,118.0,65.0,664.0,131.0,795.0,84.0,441.0,223.0,4.0,2.0,0.0,1876.0,7.0,15.0
Rob Holding,England,Arsenal,11.0,12.0,37.0,0.0,6.0,7.0,16.0,50.0,21.0,70.0,37.0,60.0,537.0,77.0,614.0,87.0,396.0,141.0,2.0,1.0,0.0,807.0,2.0,6.0
Terence Kongolo,Netherlands,Huddersfield,74.0,65.0,97.0,0.0,20.0,16.0,108.0,69.0,54.0,60.0,162.0,66.0,896.0,253.0,1149.0,78.0,563.0,337.0,9.0,4.0,0.0,2721.0,25.0,20.0
Federico Fernández,Argentina,Newcastle Utd,16.0,25.0,102.0,1.0,8.0,12.0,22.0,49.0,38.0,55.0,60.0,53.0,482.0,129.0,611.0,79.0,343.0,141.0,5.0,2.0,0.0,1482.0,7.0,12.0
Eliaquim Mangala,France,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Jørgensen,Denmark,Huddersfield,,,,,,,,,,,,,,,,,,,,,,,,
Ciaran Clark,Republic of Ireland,Newcastle Utd,20.0,12.0,57.0,0.0,3.0,7.0,25.0,69.0,43.0,65.0,68.0,67.0,228.0,76.0,304.0,75.0,161.0,67.0,2.0,1.0,0.0,858.0,6.0,6.0
Håvard Nordtveit,Norway,Fulham,9.0,8.0,14.0,0.0,1.0,3.0,12.0,67.0,4.0,67.0,16.0,67.0,187.0,38.0,225.0,83.0,142.0,45.0,3.0,0.0,0.0,368.0,2.0,5.0
Craig Cathcart,Northern Ireland,Watford,49.0,38.0,179.0,3.0,15.0,30.0,59.0,62.0,86.0,52.0,145.0,56.0,1044.0,237.0,1281.0,82.0,740.0,304.0,2.0,2.0,0.0,3098.0,8.0,16.0
Winston Reid,New Zealand,West Ham,,,,,,,,,,,,,,,,,,,,,,,,
Souleymane Bamba,Ivory Coast,Cardiff City,,,,,,,,,,,,,,,,,,,,,,,,
Wes Morgan,Jamaica,Leicester City,27.0,32.0,104.0,1.0,1.0,10.0,35.0,64.0,91.0,68.0,126.0,67.0,721.0,171.0,892.0,81.0,526.0,195.0,3.0,1.0,2.0,1926.0,6.0,18.0
Phil Jagielka,England,Everton,7.0,2.0,13.0,0.0,3.0,0.0,10.0,67.0,14.0,48.0,24.0,55.0,143.0,49.0,192.0,74.0,110.0,33.0,2.0,0.0,1.0,335.0,3.0,2.0
Jan Bednarek,Poland,Southampton,41.0,71.0,168.0,0.0,16.0,27.0,47.0,52.0,80.0,57.0,127.0,55.0,580.0,242.0,822.0,71.0,363.0,217.0,9.0,7.0,0.0,2150.0,6.0,22.0
Conor Coady,England,Wolves,31.0,30.0,127.0,3.0,15.0,27.0,41.0,59.0,34.0,60.0,75.0,59.0,1423.0,265.0,1688.0,84.0,1026.0,397.0,2.0,5.0,0.0,3420.0,9.0,10.0
Maya Yoshida,Japan,Southampton,16.0,42.0,100.0,0.0,9.0,20.0,24.0,65.0,35.0,55.0,59.0,58.0,421.0,135.0,556.0,76.0,279.0,142.0,5.0,0.0,0.0,1519.0,7.0,4.0
Leon Balogun,Nigeria,Brighton,12.0,17.0,32.0,0.0,1.0,3.0,14.0,61.0,13.0,57.0,27.0,59.0,164.0,52.0,216.0,76.0,141.0,23.0,0.0,2.0,0.0,591.0,2.0,5.0
Martin Kelly,England,Crystal Palace,21.0,11.0,85.0,1.0,5.0,12.0,22.0,63.0,35.0,57.0,57.0,59.0,269.0,88.0,357.0,75.0,181.0,89.0,1.0,2.0,0.0,1110.0,1.0,6.0
Scott Dann,England,Crystal Palace,6.0,5.0,44.0,0.0,4.0,12.0,9.0,53.0,26.0,62.0,35.0,59.0,192.0,72.0,264.0,73.0,130.0,62.0,2.0,1.0,0.0,661.0,0.0,4.0
Simon Francis,England,Bournemouth,25.0,19.0,66.0,1.0,12.0,7.0,38.0,53.0,47.0,54.0,85.0,53.0,479.0,175.0,654.0,73.0,245.0,245.0,10.0,1.0,0.0,1227.0,8.0,11.0
Juan Foyth,Argentina,Spurs,31.0,10.0,48.0,0.0,5.0,5.0,59.0,64.0,25.0,57.0,84.0,62.0,499.0,87.0,586.0,85.0,320.0,179.0,4.0,3.0,1.0,890.0,9.0,16.0
Çaglar Söyüncü,Turkey,Leicester City,5.0,7.0,22.0,2.0,3.0,5.0,9.0,39.0,16.0,73.0,25.0,56.0,184.0,36.0,220.0,84.0,132.0,53.0,0.0,1.0,0.0,372.0,2.0,9.0
Alfie Mawson,England,Fulham,11.0,19.0,64.0,1.0,4.0,17.0,16.0,62.0,32.0,60.0,48.0,61.0,393.0,84.0,477.0,82.0,287.0,106.0,2.0,2.0,0.0,1136.0,5.0,6.0
Jack Stephens,England,Southampton,25.0,37.0,94.0,2.0,12.0,13.0,36.0,55.0,56.0,57.0,92.0,56.0,575.0,192.0,767.0,75.0,332.0,243.0,5.0,4.0,0.0,1702.0,7.0,11.0
Ben Gibson,England,Burnley,1.0,0.0,2.0,0.0,0.0,1.0,1.0,50.0,2.0,33.0,3.0,38.0,22.0,11.0,33.0,67.0,16.0,6.0,0.0,1.0,0.0,63.0,0.0,2.0
Maxime Le Marchand,France,Fulham,56.0,54.0,122.0,1.0,24.0,16.0,73.0,54.0,56.0,55.0,129.0,55.0,1154.0,232.0,1386.0,83.0,826.0,332.0,9.0,5.0,0.0,2252.0,7.0,28.0
Bruno Ecuélé Manga,Gabon,Cardiff City,,,,,,,,,,,,,,,,,,,,,,,,
Sean Morrison,England,Cardiff City,35.0,52.0,200.0,4.0,13.0,30.0,62.0,55.0,226.0,66.0,288.0,63.0,463.0,274.0,737.0,63.0,290.0,173.0,22.0,6.0,0.0,3040.0,20.0,32.0
Sebastian Prödl,Austria,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0
