Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,INT,BLK,TKLW,ACRO,BR,DR,DW
Marko Arnautovic,WHU,EPL,F/M,28,1999,24,4,14,3,0,0,3,2,5,6,48,20,63
Harry Arter,CC,EPL,M,25,1991,24,1,12,10,0,0,20,5,37,6,128,3,85
Nabil Fekir,LYO,FRAN,M,29,1989,24,5,8,5,0,0,8,0,31,7,85,47,172
Andre Gomes,EVE,EPL,M,27,1986,24,3,9,7,0,0,20,4,23,3,178,40,141
Alexis Blin,AMN,FRAN,M,26,1906,24,2,12,4,0,0,31,13,44,2,158,5,156
Pablo,BDX,FRAN,D,24,1897,24,0,3,3,0,3,32,22,15,0,156,8,112
Pascal Gross,BHA,EPL,M,25,1876,24,1,15,1,0,0,13,8,12,17,90,4,62
David Ferreiro,HUE,LIGA,F/M,35,2276,23,12,6,5,0,0,24,1,22,31,145,24,103
Dries Mertens,NAP,SERI,F/M,34,2225,23,11,10,1,0,0,13,0,12,9,66,18,72
Fabio Pisacane,CAG,SERI,D,26,2176,23,3,2,6,0,0,20,23,17,1,159,2,97
David Junior Hoilett,CC,EPL,M,32,2142,23,9,10,4,0,0,32,0,27,6,114,23,120
Matteo Guendouzi,ARS,EPL,M,33,2142,23,10,4,9,0,0,30,5,26,1,167,23,147
Lamine Kone,STR,FRAN,D,26,2137,23,3,0,2,0,0,32,13,15,3,119,8,104
Ilkay Gundogan,MCI,EPL,M,31,2135,23,8,6,3,0,0,28,3,12,5,154,18,84
Bartosz Bereszynski,SMP,SERI,D,26,2108,23,3,1,5,1,1,30,7,29,7,125,22,109
Dani Carvajal,RMD,LIGA,D,24,2106,23,1,0,10,0,0,26,7,24,9,138,34,128
Ramy Bensebaini,REN,FRAN,D,24,2099,23,1,2,9,0,0,41,10,46,7,129,12,156
Alessandro Florenzi,ROM,SERI,M/D,28,2093,23,5,7,4,1,1,44,5,20,26,135,6,80
Pablo Zabaleta,WHU,EPL,D,26,2091,23,3,3,4,0,0,48,15,24,8,120,14,137
Etienne Didot,GUI,FRAN,M,30,2089,23,7,7,4,0,0,38,10,29,4,149,4,96
Nampalys Mendy,LEI,EPL,M,31,2088,23,8,4,5,0,0,26,8,18,2,145,16,93
Sergi Roberto,BAR,LIGA,M/D,29,2088,23,6,4,3,0,0,43,3,20,6,102,15,104
Mikel Vesga,LGN,LIGA,M,26,2075,23,3,8,3,0,0,39,4,32,6,155,19,137
Nicolas Pallois,NTE,FRAN,D,23,2070,23,0,0,8,0,0,32,14,46,1,178,21,153
Arne Maier,HB,BUND,M,24,2068,23,1,5,2,0,0,28,9,16,2,148,22,87
Antonin Bobichon,NIM,FRAN,M,29,2065,23,6,7,2,0,0,16,3,15,1,118,16,73
Jonas Martin,STR,FRAN,M,23,2060,23,0,2,9,0,0,29,11,29,5,157,18,104
Chris Lowe,HUD,EPL,D,29,2056,23,6,6,2,0,0,23,3,18,22,98,9,79
Willi Orban,RBL,BUND,D,24,2050,23,1,2,5,0,0,37,14,26,0,91,3,193
Son Heung-Min,TOT,EPL,F/M,31,2045,23,8,16,2,0,1,8,2,12,5,95,47,94
Fancesco Zampano,FRO,SERI,D,26,2040,23,3,4,1,0,0,12,4,24,15,109,9,82
Hatem Ben Arfa,REN,FRAN,M,26,2036,23,3,7,1,0,0,4,0,7,1,82,117,180
Martin,ALA,LIGA,D,27,2034,23,4,5,5,0,0,26,11,29,7,116,25,117
Santi Comesana,RV,LIGA,M,25,2032,23,2,2,6,0,0,30,5,35,3,137,26,146
Jannik Vestergaard,SOU,EPL,D,23,2030,23,0,3,2,0,0,35,20,33,0,123,10,162
Marc-Oliver Kempf,SGT,BUND,D,23,2025,23,0,1,3,0,0,46,21,18,3,108,2,172
Mathieu Cafaro,REI,FRAN,M,33,2025,23,10,15,5,0,0,20,0,27,14,115,22,125
Mehdi Abeid,DIJ,FRAN,M,26,2025,23,3,7,6,0,0,28,7,34,3,147,30,128
Leon Goretzka,BAY,BUND,M,30,2019,23,7,5,3,0,0,26,4,22,0,131,15,113
Lorenzo Insigne,NAP,SERI,F/M,27,2015,23,4,9,6,0,1,7,0,4,5,71,26,58
Fabian Balbuena,WHU,EPL,D,23,2014,23,0,1,2,0,0,53,14,20,0,102,1,114
Darijo Srna,CAG,SERI,D,25,2011,23,2,3,5,0,1,16,5,16,25,97,11,133
Presnel Kimpembe,PSG,FRAN,D,24,2006,23,1,1,4,0,1,30,10,34,0,132,5,125
Walace,HAN,BUND,M,26,1996,23,3,5,5,0,0,45,4,22,0,209,23,155
Demarai Gray,LEI,EPL,F/M,34,1996,23,11,18,2,0,0,9,0,12,3,99,42,93
Issiaga Sylla,TOU,FRAN,M/D,24,1993,23,1,2,5,0,0,39,10,35,9,137,16,142
Charles Aranguiz,LEV,BUND,M,25,1985,23,2,7,3,0,0,25,2,30,8,169,9,104
Stefano Sensi,SAS,SERI,M,28,1978,23,5,12,8,0,0,33,7,20,3,153,19,134
Pierre Kunde Malong,MAI,BUND,M,29,1918,23,6,11,5,0,0,24,14,29,4,190,24,122
Sofiane Alakouch,NIM,FRAN,D,25,1901,23,2,9,4,0,0,45,4,44,6,92,20,150
Cristian Ansaldi,TOR,SERI,D,24,1815,23,1,10,3,0,0,16,4,26,36,113,52,137
Dimitri Foulquier,GET,LIGA,D,25,1809,23,2,12,7,0,0,20,2,12,4,104,26,104
Mitchell Weiser,LEV,BUND,M,31,2134,22,9,6,3,0,0,30,3,38,16,110,30,153
Genki Haraguchi,HAN,BUND,M,28,2128,22,6,2,1,0,0,21,5,26,11,118,46,151
Michail Antonio,WHU,EPL,M,33,2099,22,11,7,3,0,0,18,3,14,6,114,58,204
Alfonso Pedraza,VIL,LIGA,M/D,34,2087,22,12,5,3,0,0,29,7,44,18,105,32,130
Thomas Partey,ATL,LIGA,M/D,32,2064,22,10,5,7,1,1,49,5,42,2,144,35,161
Georg Margreitter,FCN,BUND,D,27,2059,22,5,0,2,0,0,26,26,24,1,94,5,117
Kiko,WAT,EPL,M/D,29,2046,22,7,3,1,0,0,36,6,30,13,128,13,88
Philippe Coutinho,BAR,LIGA,F/M,34,2022,22,12,14,2,0,0,12,2,11,2,81,51,118
Stephan El Shaarawy,ROM,SERI,F/M,27,2018,22,5,8,2,0,0,20,2,14,8,79,40,123
Emanuele Giaccherini,CHV,SERI,F/M,26,2008,22,4,3,8,0,0,16,2,8,10,134,24,97
Guillermo Maripan,ALA,LIGA,D,23,2008,22,1,1,5,0,0,40,19,26,0,89,2,152
Emiliano Moretti,TOR,SERI,D,23,2004,22,1,2,5,0,0,23,6,21,2,112,2,93
Fabian Schar,NEW,EPL,D,24,2003,22,2,5,12,0,0,67,16,39,2,113,14,155
Oscar Melendo,ESP,LIGA,M,32,2002,22,10,16,3,0,0,13,1,8,3,99,34,115
Lukas Klostermann,RBL,BUND,D,26,2001,22,4,2,1,0,0,29,5,29,8,122,7,110
Raffaele Maiello,FRO,SERI,M,28,2001,22,6,9,4,0,0,29,10,27,2,175,17,108
Dodi Lukebakio,DUS,BUND,M,32,1995,22,10,15,6,0,0,10,0,17,9,87,50,148
Robin Koch,FBG,BUND,D,25,1989,22,3,0,3,0,0,31,19,14,0,97,7,118
Theo Hernandez,RSO,LIGA,D,24,1976,22,2,2,5,0,1,33,5,33,10,126,41,187
Victor Ruiz,VIL,LIGA,D,22,1976,22,0,1,10,0,0,38,16,19,2,117,9,94
Alex Iwobi,ARS,EPL,M,35,1972,22,13,15,0,0,0,12,1,14,12,90,45,90
Joao Cancelo,JUV,SERI,D,25,1967,22,3,2,6,0,0,15,4,28,23,140,61,149
Bastian Oczipka,SKE,BUND,D,22,1966,22,0,1,3,0,0,28,5,29,13,147,24,102
Joe Ralls,CC,EPL,M,28,1960,22,6,5,4,0,1,29,6,23,4,141,5,92
Davide Calabria,MIL,SERI,D,26,1953,22,4,7,5,0,0,32,1,51,14,133,12,121
Khaled Adenon,AMN,FRAN,D,22,1951,22,0,1,6,1,1,28,11,22,0,104,1,100
Anaitz Arbilla,EIB,LIGA,D,25,1950,22,3,2,4,1,1,46,5,24,1,151,4,100
Davinson Sanchez,TOT,EPL,D,23,1943,22,1,2,2,0,0,31,9,20,0,115,1,115
Junior,BET,LIGA,D,24,1937,22,2,2,7,0,0,23,2,25,6,106,27,124
Clement Lenglet,BAR,LIGA,D,23,1935,22,1,2,8,0,1,21,20,29,0,106,6,111
Arturo Vidal,BAR,LIGA,M,33,1927,22,11,11,7,0,0,28,5,44,2,121,5,154
Marvin Plattenhardt,HB,BUND,D,22,1926,22,0,2,4,0,0,7,3,21,16,104,9,70
Matias Vecino,INT,SERI,M,29,1925,22,7,9,8,0,0,16,8,34,4,109,14,134
Jonathan Gradit,CAE,FRAN,D,23,1922,22,1,4,1,0,0,39,14,28,5,115,20,136
Jan Vertonghen,TOT,EPL,D,22,1914,22,0,3,3,1,1,32,11,24,5,139,9,109
Simone Padoin,CAG,SERI,M/D,29,1899,22,7,7,2,0,0,14,5,25,18,110,8,78
Sead Kolasinac,ARS,EPL,M/D,24,1890,22,2,6,5,0,0,20,3,21,12,126,13,76
Edimilson Fernandes,FIO,SERI,M,28,1883,22,6,9,8,1,1,26,6,22,4,152,19,89
Danny Latza,MAI,BUND,M,24,1879,22,2,14,4,0,0,20,10,22,1,130,16,128
Niklas Stark,HB,BUND,D,22,1869,22,0,3,5,0,0,37,26,19,1,76,1,112
Nicola Rigoni,CHV,SERI,M,23,1868,22,1,7,7,1,1,22,4,20,0,128,2,99
Andrea Poli,BGN,SERI,M,29,1866,22,7,18,5,0,0,33,4,44,1,106,10,110
Lebogang Phiri,GUI,FRAN,M,23,1864,22,1,4,3,0,0,28,3,38,0,133,10,94
Mathieu Debuchy,ETI,FRAN,D,23,1857,22,1,7,4,1,1,42,7,25,15,99,8,158
Robin Gosens,ATA,SERI,M/D,27,1856,22,5,9,2,0,0,37,4,45,16,128,20,148
Dimitri Payet,MAR,FRAN,M,30,1851,22,8,14,3,0,0,8,0,9,16,70,18,65
Rony Lopes,MON,FRAN,M,23,1837,22,1,10,1,0,0,8,1,22,12,84,26,95
Dele Alli,TOT,EPL,M,25,1833,22,3,12,4,0,0,19,5,19,2,124,28,101
Thomas Lemar,ATL,LIGA,M,31,1827,22,9,17,4,0,0,22,1,21,6,106,48,127
Josh Murphy,CC,EPL,M,29,1822,22,7,15,2,0,0,12,0,17,11,89,39,130
Marco Verratti,PSG,FRAN,M,25,1795,22,3,11,7,0,0,18,1,41,0,138,34,159
Francis Guerrero,BET,LIGA,M/D,22,1790,22,0,12,1,0,0,21,1,29,9,79,15,113
Oscar Trejo,RV,LIGA,M,26,1772,22,4,13,5,1,1,18,2,41,3,121,34,162
Ola Aina,TOR,SERI,D,29,2067,21,8,6,5,0,1,40,2,33,16,153,30,155
Erik Durm,HUD,EPL,M/D,28,2052,21,7,3,0,0,0,41,6,22,10,136,12,92
Fabinho,LIV,EPL,M/D,28,2012,21,7,3,6,0,0,28,6,31,3,120,10,153
Callum Paterson,CC,EPL,F/M,27,1996,21,6,4,4,0,0,8,2,14,6,65,5,255
Jonny Evans,LEI,EPL,D,24,1994,21,3,2,2,0,0,33,10,13,1,113,0,113
Paul Dummett,NEW,EPL,D,26,1987,21,5,1,1,0,0,37,10,22,7,80,2,104
Jordan Henderson,LIV,EPL,M,32,1982,21,11,6,1,1,1,30,3,36,5,168,7,89
Djibril Sidibe,MON,FRAN,D,25,1982,21,4,0,5,0,0,28,8,35,17,136,7,118
Julian Draxler,PSG,FRAN,M,30,1978,21,9,6,5,0,0,15,1,21,1,137,43,113
Denis Zakaria,BM,BUND,M,31,1957,21,10,7,7,0,0,26,9,21,3,132,29,104
Enock Kwateng,NTE,FRAN,D,29,1948,21,8,4,4,0,0,74,4,41,17,160,20,144
Javi Lopez,ESP,LIGA,D,23,1947,21,2,2,3,1,1,40,5,40,9,113,18,147
James Ward-Prowse,SOU,EPL,M,26,1942,21,5,2,4,0,0,27,6,17,5,111,5,72
Jacques Francois Moubandje,TOU,FRAN,D,22,1935,21,1,0,3,0,0,27,4,22,8,117,16,112
Hector Moreno,RSO,LIGA,D,25,1929,21,4,0,2,0,0,31,19,9,0,95,2,68
Wes Morgan,LEI,EPL,D,22,1926,21,1,0,1,2,2,32,10,15,0,79,2,128
Giorgio Chiellini,JUV,SERI,D,24,1925,21,3,1,3,0,0,27,15,13,3,110,4,97
Leon Bailey,LEV,BUND,M,29,1920,21,8,13,4,0,0,14,0,11,16,127,53,115
Jonas Hofmann,BM,BUND,M,27,1916,21,6,9,2,0,0,15,2,20,2,138,11,81
Lucas Leiva,LAZ,SERI,M,26,1915,21,5,5,6,0,0,49,11,52,3,161,9,158
Cheikhou Kouyate,CRY,EPL,M/D,31,1897,21,10,8,3,0,0,16,11,33,1,113,10,147
Gustavo Cabral,CEL,LIGA,D,24,1897,21,3,0,2,2,2,33,11,26,0,96,0,113
Sergi Palencia,BDX,FRAN,D,24,1894,21,3,1,6,0,0,17,3,47,15,128,12,126
Jimmy Durmaz,TOU,FRAN,M,35,1881,21,14,18,5,0,0,11,2,22,4,121,46,107
Radja Nainggolan,INT,SERI,M,28,1881,21,7,11,3,0,0,7,2,26,9,100,26,103
Milos Veljkovic,BRE,BUND,D,23,1878,21,2,1,5,2,2,27,13,24,3,80,0,95
Ervin Zukanovic,GEN,SERI,D,24,1870,21,3,2,5,0,0,17,9,17,7,127,2,87
Cristiano Piccini,VAL,LIGA,D,23,1868,21,2,2,3,0,0,26,7,23,11,120,30,102
Leroy Sane,MCI,EPL,M,31,1867,21,10,10,1,0,0,9,2,15,5,91,55,104
Isaac Hayden,NEW,EPL,M,25,1864,21,4,6,3,0,1,40,4,43,4,118,12,151
Nacho Monreal,ARS,EPL,D,22,1861,21,1,1,5,0,0,31,10,17,4,101,6,98
Benjamin Stambouli,SKE,BUND,M,22,1853,21,1,1,3,0,0,34,9,33,2,139,9,96
Manu Garcia,TOU,FRAN,M,31,1846,21,10,14,1,1,1,15,1,26,1,101,32,118
Mitchell Dijks,BGN,SERI,M/D,23,1843,21,2,4,5,0,1,21,1,17,10,123,27,127
Marcelo,RMD,LIGA,D,23,1841,21,2,3,6,0,0,17,2,19,16,109,33,94
Juan Bernat,PSG,FRAN,D,24,1826,21,3,5,6,0,1,20,5,32,8,88,18,101
Suat Serdar,SKE,BUND,M,27,1826,21,6,11,4,1,2,23,6,33,1,125,42,145
Pierrick Capelle,ANG,FRAN,M,25,1824,21,4,7,2,0,0,37,2,31,10,145,18,104
David Silva Lopez,ESP,LIGA,D,21,1820,21,0,1,4,0,0,28,12,18,1,101,6,101
Marcus Coco,GUI,FRAN,M,32,1807,21,11,12,3,0,1,23,0,23,11,96,19,176
Jordan Lefort,AMN,FRAN,D,23,1804,21,2,2,4,0,1,46,8,18,7,101,8,117
Gareth Bale,RMD,LIGA,F/M,29,1792,21,8,15,4,0,0,11,3,8,11,36,23,97
Andrea Masiello,ATA,SERI,D,23,1780,21,2,6,5,0,0,44,5,13,0,131,0,79
Pedro,CHE,EPL,F/M,31,1780,21,10,12,2,0,0,18,2,14,9,94,44,105
Andreas Beck,SGT,BUND,D,24,1777,21,3,6,2,0,0,22,6,19,9,94,9,100
Toni,REV,LIGA,M,26,1774,21,5,17,3,0,0,12,0,32,8,108,51,146
Serge Gnabry,BAY,BUND,M,30,1774,21,9,18,0,0,0,11,0,20,9,94,50,108
Tono,LEV,LIGA,D,21,1767,21,0,4,4,0,0,14,5,13,6,107,32,74
David Junca,CEL,LIGA,D,21,1758,21,0,4,6,0,0,35,6,30,12,91,13,114
Mateo Kovacic,CHE,EPL,M,32,1744,21,11,19,3,0,0,8,2,29,1,122,42,130
Giannelli Imbula,RV,LIGA,M,22,1739,21,1,8,7,0,0,8,3,7,2,88,57,119
Adam Bodzek,DUS,BUND,D,22,1670,21,1,9,5,0,1,26,7,27,0,69,4,128
Andre Schurrle,FUL,EPL,M,24,1649,21,3,14,2,0,0,8,1,19,10,80,19,83
Leo Dubois,LYO,FRAN,D,24,1954,20,4,4,2,0,0,21,9,22,22,119,12,100
Adrian Mariappa,WAT,EPL,D,26,1924,20,6,0,3,0,0,26,15,22,1,77,1,101
Angel Correa,ATL,LIGA,M,36,1920,20,16,14,7,0,1,17,5,19,3,123,61,145
Mehdi Bourabia,SAS,SERI,M,31,1918,20,11,5,7,1,1,31,5,27,4,129,29,144
Timothy Castagne,ATA,SERI,D,27,1911,20,7,3,3,0,0,28,6,37,12,125,19,115
Rodrigo Bentancur,JUV,SERI,M,30,1906,20,10,2,7,1,1,40,8,32,8,140,15,114
Konrad Laimer,RBL,BUND,M,29,1876,20,9,11,7,0,0,32,2,39,7,155,32,138
Angelo Ogbonna,WHU,EPL,D,24,1871,20,4,0,2,0,0,35,20,13,0,93,1,116
Pedro Alcala,GIR,LIGA,D,25,1868,20,5,2,9,0,0,36,18,23,0,106,4,133
Kevin Strootman,MAR,FRAN,M,27,1851,20,7,4,7,0,0,26,5,38,1,119,10,130
Pasquale Schiattarella,SPL,SERI,M,28,1843,20,8,9,10,0,0,22,5,28,5,119,10,124
Ben Davies,TOT,EPL,M/D,27,1839,20,7,2,2,0,0,22,10,31,8,92,4,119
Weston McKennie,SKE,BUND,M,25,1835,20,5,5,6,0,0,40,10,14,3,89,16,151
Yoel Armougom,CAE,FRAN,D,28,1834,20,8,3,4,1,1,22,3,21,15,85,11,83
Ibrahima Mbaye,BGN,SERI,M/D,21,1829,20,1,0,5,0,0,18,11,28,5,108,4,99
Luca Rossettini,CHV,SERI,D,21,1822,20,1,0,5,0,0,34,15,17,0,94,0,72
Asier Illarramendi,RSO,LIGA,M,23,1822,20,3,4,8,0,0,31,9,24,0,182,7,109
Youssouf Sabaly,BDX,FRAN,D,22,1821,20,2,4,3,0,0,26,2,29,12,148,20,104
Maximilian Mittelstadt,HB,BUND,D,25,1803,20,5,3,2,1,1,46,4,37,15,125,24,149
Ghislain Konan,REI,FRAN,D,20,1800,20,0,0,0,0,0,40,4,28,16,152,25,122
Danny Rose,TOT,EPL,D,26,1798,20,6,6,5,0,0,24,4,31,14,105,35,157
Manuel Locatelli,SAS,SERI,M,28,1790,20,8,9,7,0,0,27,3,27,2,139,20,111
Paul Baysse,CAE,FRAN,D,20,1789,20,0,0,2,1,1,32,20,14,0,81,1,96
Ermin Bicakcic,HOF,BUND,D,25,1788,20,5,3,0,0,0,56,15,19,1,84,0,101
Marko Grujic,HB,BUND,M,22,1780,20,2,2,5,0,0,29,6,33,1,129,30,166
Francesco Magnanelli,SAS,SERI,M,25,1776,20,5,4,3,0,0,25,5,31,0,140,6,109
Mats Hummels,BAY,BUND,D,21,1776,20,1,1,1,0,0,34,8,17,0,123,10,129
Theo Valls,NIM,FRAN,M,31,1772,20,11,11,2,0,0,22,4,21,5,119,7,79
Nicolo Zaniolo,ROM,SERI,M,27,1772,20,7,11,8,0,0,13,0,21,4,100,39,119
Santiago Arias,ATL,LIGA,D,25,1770,20,5,4,4,0,0,34,2,32,11,99,8,129
Jordan Ferri,NIM,FRAN,M,23,1769,20,3,6,5,0,0,12,2,28,1,182,26,122
Francis Coquelin,VAL,LIGA,M,26,1766,20,6,11,5,0,0,49,5,31,1,162,27,137
Luca Rigoni,PAR,SERI,M,23,1763,20,3,5,5,0,0,18,2,25,2,109,7,86
John Stones,MCI,EPL,D,24,1763,20,4,2,1,0,0,14,9,11,1,114,6,88
Fouad Chafik,DIJ,FRAN,D,20,1763,20,0,7,2,0,0,22,3,29,7,110,17,92
Lukasz Piszczek,DOR,BUND,D,20,1758,20,0,3,3,0,0,39,3,36,12,110,8,136
Joseph Alfred Duncan,SAS,SERI,M,25,1758,20,5,7,7,0,1,15,6,20,5,109,17,82
Diego Llorente,RSO,LIGA,D,21,1755,20,1,3,5,0,0,26,15,15,1,95,2,98
Roberto Rosales,ESP,LIGA,D,21,1751,20,1,3,2,0,0,22,7,31,10,114,12,123
Rafael Toloi,ATA,SERI,D,21,1746,20,1,2,1,0,1,33,9,17,1,148,9,77
Roque Mesa,SEV,LIGA,M,31,1745,20,11,8,9,1,1,14,0,27,13,153,23,107
Sidnei,BET,LIGA,D,24,1743,20,4,4,4,0,0,41,8,29,0,116,12,109
Mesut Ozil,ARS,EPL,M,24,1741,20,4,10,2,0,0,4,2,5,8,82,21,60
Benjamin Henrichs,MON,FRAN,D,21,1737,20,1,4,2,0,0,32,0,35,10,89,12,118
Lorenzo Pellegrini,ROM,SERI,M,24,1737,20,4,10,5,0,0,9,2,22,10,100,23,111
Lucas Tousart,LYO,FRAN,M,29,1722,20,9,7,1,2,2,24,13,40,1,125,10,134
Yan Valery,SOU,EPL,D,23,1714,20,3,5,3,1,1,22,3,36,7,76,24,114
Manuel Gulde,FBG,BUND,D,21,1713,20,1,3,3,0,0,26,13,16,0,57,1,77
Allan Nyom,LGN,LIGA,D,23,1712,20,3,6,8,0,1,20,2,24,26,90,9,84
Samir,UDN,SERI,D,20,1709,20,0,3,7,0,0,33,9,32,4,80,8,136
Koo Ja-Cheol,AUG,BUND,M,27,1708,20,7,12,3,0,0,28,5,24,1,121,14,110
Admir Mehmedi,WOL,BUND,F/M,26,1698,20,6,13,1,0,0,12,0,29,8,83,13,121
Luca Cigarini,CAG,SERI,M,25,1687,20,5,11,9,0,0,26,5,33,3,150,10,98
Damian Musto,HUE,LIGA,M,24,1687,20,4,7,11,0,0,33,11,34,0,97,1,117
Youri Tielemans,MON,FRAN,M,20,1684,20,0,5,5,0,0,18,3,24,3,128,18,120
Ivan Ramis,EIB,LIGA,D,21,1682,20,1,7,4,0,0,18,5,13,0,117,3,98
Omar Colley,SMP,SERI,D,20,1675,20,0,2,0,1,1,19,16,11,0,97,5,75
Aleix Garcia,GIR,LIGA,M,31,1665,20,11,14,1,0,0,21,6,19,3,120,13,85
Domenico Maietta,EMP,SERI,D,20,1648,20,0,5,5,0,0,24,13,14,1,102,7,73
Erick Cabaco,LEV,LIGA,D,21,1638,20,1,6,9,1,2,29,14,13,0,69,1,74
Nelson Semedo,BAR,LIGA,D,26,1597,20,6,7,4,0,0,22,7,27,1,103,19,102
Keko,REV,LIGA,F/M,26,1543,20,6,17,3,0,0,14,1,18,24,91,29,102
Francisco Portillo,GET,LIGA,M,32,1991,19,13,9,3,0,1,17,0,16,6,132,39,105
Cyrus Christie,FUL,EPL,D,28,1945,19,9,4,7,0,0,29,11,23,16,94,27,139
Fabian Ruiz,NAP,SERI,M,26,1900,19,7,4,2,1,1,20,4,27,9,140,35,117
Florent Hadergjonaj,HUD,EPL,D,24,1840,19,5,3,1,0,0,21,7,18,21,106,10,81
Coke,LEV,LIGA,D,27,1815,19,8,4,2,1,1,40,8,27,8,114,12,111
Gaetan Bong,BHA,EPL,D,22,1805,19,3,0,0,0,0,25,6,10,9,112,9,53
Nabil Bentaleb,SKE,BUND,M,25,1792,19,6,5,4,0,0,35,8,17,2,146,20,107
James Milner,LIV,EPL,M/D,31,1786,19,12,7,5,1,1,18,5,23,11,143,15,104
Jose Maria Gimenez,ATL,LIGA,D,21,1772,19,2,2,5,0,0,44,14,15,0,92,7,106
Arthur Masuaku,WHU,EPL,M/D,23,1757,19,4,1,2,0,0,36,6,25,4,146,36,119
Bernardo,BHA,EPL,D,22,1750,19,3,1,4,0,0,34,14,43,6,120,13,142
Johann Berg Gudmundsson,BUR,EPL,M,29,1749,19,10,6,2,0,0,33,4,11,13,117,16,96
Emre Can,JUV,SERI,M/D,28,1749,19,9,3,7,0,0,28,13,37,6,114,24,149
Matthew Lowton,BUR,EPL,D,21,1748,19,2,0,7,0,0,30,7,35,7,127,12,105
Saman Ghoddos,AMN,FRAN,F/M,26,1742,19,7,11,4,0,0,8,2,15,6,81,10,98
Achraf Hakimi,DOR,BUND,D,21,1740,19,2,2,4,0,0,29,4,19,8,137,38,123
Dan Gosling,BOU,EPL,M,25,1738,19,6,4,8,0,0,21,11,23,1,131,12,127
Gabriel Mercado,SEV,LIGA,D,23,1737,19,4,4,10,0,0,26,12,23,2,80,1,101
Robert Bauer,FCN,BUND,D,22,1724,19,3,4,3,1,1,28,5,29,5,85,4,82
Bartosz Salamon,FRO,SERI,D,20,1723,19,1,0,3,0,0,27,19,10,0,95,2,71
Kevin Malcuit,NAP,SERI,D,23,1715,19,4,5,3,0,0,45,4,31,23,122,32,112
Jordan Marie,DIJ,FRAN,M,25,1715,19,6,5,4,0,0,38,5,28,3,111,10,91
Berat Djimsiti,ATA,SERI,D,23,1714,19,4,2,3,0,0,33,10,20,0,124,5,106
Filip Helander,BGN,SERI,D,20,1712,19,1,0,6,0,0,14,16,26,0,74,4,103
Youssouf Kone,LIL,FRAN,D,20,1710,19,1,2,3,0,0,40,3,38,18,115,17,123
Denis Cheryshev,VAL,LIGA,M,27,1709,19,8,10,2,0,0,15,3,32,20,113,18,116
Samuel Chimerenka Chukwueze,VIL,LIGA,M,26,1708,19,7,11,2,0,0,10,2,11,2,102,52,106
Ivan Radovanovic,CHV,SERI,M,19,1707,19,0,1,6,0,0,26,7,21,0,138,7,68
Nicolas Hofler,FBG,BUND,M,19,1706,19,0,1,6,0,0,34,5,24,0,125,10,106
Zou Feddal,BET,LIGA,D,21,1701,19,2,3,7,0,0,31,8,24,1,106,18,137
Nacho,RMD,LIGA,D,20,1701,19,1,2,6,1,1,32,7,19,2,108,9,78
Jack Stephens,SOU,EPL,D,24,1697,19,5,2,4,0,0,37,13,13,0,118,5,92
Jerome Boateng,BAY,BUND,D,20,1694,19,1,1,1,0,0,25,3,15,2,132,1,61
Christian Rivera,HUE,LIGA,M,22,1694,19,3,5,2,0,0,31,4,25,1,136,18,90
Gonzalo Castro,SGT,BUND,M,25,1691,19,6,7,4,0,0,29,5,28,2,103,6,84
Mario Gotze,DOR,BUND,F/M,26,1678,19,7,13,0,0,0,8,0,19,7,72,26,86
Ole Selnaes,ETI,FRAN,M,20,1674,19,1,6,6,0,0,20,7,26,2,130,11,90
Benoit Badiashile,MON,FRAN,D,19,1673,19,0,1,4,0,0,21,5,18,0,90,1,66
Phil Bardsley,BUR,EPL,D,19,1672,19,0,2,9,0,0,31,12,19,10,70,4,79
Jesse Lingard,MUN,EPL,M,27,1669,19,8,13,3,0,0,10,2,18,2,66,13,73
Vicente Iborra,VIL,LIGA,M,19,1667,19,0,2,7,0,0,22,7,18,0,119,7,157
Adama Soumaoro,LIL,FRAN,D,19,1664,19,0,1,4,1,1,21,17,12,0,118,6,80
Miiko Albornoz,HAN,BUND,M,22,1660,19,3,2,3,0,1,16,3,26,16,94,7,98
Blerim Dzemaili,BGN,SERI,M,26,1655,19,7,8,4,0,0,14,1,26,0,124,24,140
Henrikh Mkhitaryan,ARS,EPL,M,25,1644,19,6,8,1,0,0,16,2,22,5,124,20,79
Lionel Carole,STR,FRAN,D,22,1638,19,3,5,2,0,0,28,5,8,11,97,9,80
Dani Alves,PSG,FRAN,D,22,1601,19,3,7,4,0,0,8,5,21,14,118,16,91
Dwight McNeil,BUR,EPL,F/M,21,1597,19,2,10,2,0,0,13,3,22,14,102,31,98
Loick Landre,NIM,FRAN,D,22,1591,19,3,1,6,0,1,37,11,21,0,78,4,83
Christian Kabasele,WAT,EPL,D,21,1587,19,2,2,2,1,1,38,16,14,0,60,0,99
Milot Rashica,BRE,BUND,M,26,1558,19,7,15,1,0,0,6,2,16,15,80,33,98
Nuri Sahin,BRE,BUND,M,20,1486,19,1,13,5,0,0,37,3,33,1,124,9,106
Arthur,BAR,LIGA,M,27,1439,19,8,19,2,0,0,9,0,10,0,109,10,68
Lars Bender,LEV,BUND,M,21,1433,19,2,10,2,0,0,22,4,30,2,95,12,122
Antonito,REV,LIGA,D,30,1854,18,12,2,5,0,0,18,8,21,15,84,22,81
