Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,INT,BLK,TKLW,ACRO,BR,DR,DW
Denis Bouanga,NIM,FRAN,M,34,2546,28,6,14,5,0,0,20,3,31,13,146,47,150
Frederic Veseli,EMP,SERI,M/D,31,2537,28,3,0,4,0,0,30,17,21,5,124,5,60
Maxime Poundje,BDX,FRAN,D,30,2536,28,2,1,4,0,0,29,5,35,24,118,15,124
Ximo Navarro,ALA,LIGA,D,31,2533,28,3,2,7,0,0,47,11,35,14,150,15,154
Mateo Musacchio,MIL,SERI,D,28,2520,28,0,0,2,0,0,27,19,21,1,117,3,85
Pavel Kaderabek,HOF,BUND,D,29,2509,28,1,1,7,0,0,35,10,19,31,95,8,107
Diego Godin,ATL,LIGA,D,30,2507,28,2,1,7,0,0,45,9,30,0,138,10,169
Benjamin Andre,REN,FRAN,M,30,2497,28,2,3,7,1,1,54,6,61,1,219,21,311
Danilo D'Ambrosio,INT,SERI,D,29,2491,28,1,3,5,0,0,24,8,37,21,137,13,139
Pablo Fornals,VIL,LIGA,M,35,2483,28,7,9,4,0,0,24,4,26,3,163,38,150
Souleymane Bamba,CC,EPL,D,28,2475,28,0,1,7,0,0,84,32,42,0,175,13,192
Sergio Ramos,RMD,LIGA,D,28,2474,28,0,1,5,1,1,37,15,32,0,177,3,138
DeAndre Yedlin,NEW,EPL,D,29,2474,28,1,2,6,0,1,28,10,32,18,109,8,105
Jasmin Kurtic,SPL,SERI,M,29,2471,28,1,5,9,0,0,16,3,19,10,112,24,174
Thiago Cionek,SPL,SERI,D,30,2470,28,2,4,11,0,2,54,22,43,7,175,4,175
Jerome Roussillon,WOL,BUND,D,28,2466,28,0,5,4,0,0,31,7,29,32,150,49,155
Yannick Gerhardt,WOL,BUND,M,30,2462,28,2,7,2,0,0,30,7,36,10,127,9,125
Ruben Aguilar,MTP,FRAN,D,28,2441,28,0,3,8,0,0,33,3,49,30,179,36,186
Nemanja Matic,MUN,EPL,M,28,2440,28,0,4,6,1,1,31,18,30,2,207,17,141
Benjamin Bourigeaud,REN,FRAN,M,34,2435,28,6,15,5,0,0,32,5,35,10,129,10,94
Oscar de Marcos,ATH,LIGA,M/D,30,2426,28,2,6,4,1,2,27,4,32,21,118,10,118
David Silva,MCI,EPL,M,33,2409,28,5,15,3,0,0,22,1,18,7,134,31,105
Kevin Vogt,HOF,BUND,M,28,2394,28,0,4,5,0,0,32,11,15,1,179,3,75
Alex Sandro,JUV,SERI,D,31,2391,28,3,7,7,0,0,38,8,45,18,164,28,201
Mexer,REN,FRAN,D,28,2382,28,0,3,3,0,0,30,18,11,0,136,11,94
Marco Benassi,FIO,SERI,M,31,2205,28,3,16,6,0,1,9,3,19,10,112,16,81
Michel,REV,LIGA,M,35,2551,27,8,7,9,0,0,43,4,38,6,228,21,125
Stanislav Lobotka,CEL,LIGA,M,31,2493,27,4,6,1,0,0,26,1,19,2,166,31,118
Ruben Perez,LGN,LIGA,M,31,2471,27,4,1,7,0,1,40,8,42,1,225,11,170
Trent Alexander-Arnold,LIV,EPL,D,29,2466,27,2,7,3,0,0,35,3,39,32,169,14,91
Carlos Soler,VAL,LIGA,M,31,2466,27,4,9,9,0,0,19,6,28,12,149,22,137
Leonardo Bonucci,JUV,SERI,D,28,2446,27,1,1,2,0,0,38,21,9,2,118,2,86
Kenneth Omeruo,LGN,LIGA,D,28,2434,27,1,2,7,0,0,37,11,27,1,134,8,121
Ibrahima Konate,RBL,BUND,D,28,2431,27,1,0,7,0,0,58,18,32,1,139,22,188
Marcin Kaminski,DUS,BUND,D,27,2430,27,0,0,1,0,0,39,11,13,2,109,1,75
Stefan de Vrij,INT,SERI,D,27,2430,27,0,0,2,0,0,25,23,13,0,149,4,83
Santiago Ascacibar,SGT,BUND,M,27,2428,27,0,1,10,0,1,43,10,50,2,190,13,152
Mamadou Sakho,CRY,EPL,D,27,2417,27,0,1,2,0,0,41,16,16,0,192,9,98
Marcel Halstenberg,RBL,BUND,D,28,2414,27,1,1,2,0,0,38,5,44,9,162,29,189
Boubacar Kamara,MAR,FRAN,D,31,2410,27,4,2,6,0,0,45,13,38,2,147,9,166
Lucas Lima,NTE,FRAN,D,30,2405,27,3,2,6,0,0,26,3,28,27,173,22,139
Giovani Lo Celso,BET,LIGA,M,32,2400,27,5,8,5,0,0,17,1,31,2,108,62,197
Mateo Pavlovic,ANG,FRAN,D,29,2400,27,2,1,7,0,1,21,27,16,0,92,1,90
Adrien Thomasson,STR,FRAN,M,33,2396,27,6,14,4,1,1,18,4,26,12,161,20,125
Romain Thomas,ANG,FRAN,D,28,2395,27,1,2,4,0,0,29,24,26,0,108,0,118
Florian Grillitsch,HOF,BUND,M,30,2394,27,3,4,8,0,0,71,8,49,5,213,23,193
Jose Holebas,WAT,EPL,M/D,28,2394,27,1,1,12,0,1,21,8,40,10,134,22,166
Luis Advincula,RV,LIGA,D,28,2391,27,1,1,2,2,2,19,2,38,15,131,39,161
Fernandinho,MCI,EPL,M,29,2381,27,2,6,5,0,0,41,4,43,0,163,19,177
Matthias Ginter,BM,BUND,D,27,2380,27,0,1,2,0,0,18,19,14,2,115,1,107
Abdou Diallo,DOR,BUND,D,28,2380,27,1,2,1,0,1,27,15,20,9,153,40,137
Raul Garcia,ATH,LIGA,M,33,2379,27,6,13,13,0,0,21,1,40,3,123,12,319
Felipe,SPL,SERI,D,30,2363,27,3,6,13,0,0,17,18,25,2,95,6,105
Wylan Cyprien,NIC,FRAN,M,29,2363,27,2,5,1,1,1,11,5,20,0,156,19,117
Didac  Rossello Vila,ESP,LIGA,D,27,2358,27,0,4,10,0,0,53,12,31,12,130,8,152
Papakouli Diop,EIB,LIGA,M,28,2356,27,1,5,11,0,0,37,1,40,2,170,17,227
Brais Mendez,CEL,LIGA,M,31,2351,27,4,8,5,0,0,24,3,31,6,133,19,173
Joe Bryan,FUL,EPL,D,28,2347,27,1,6,5,0,0,31,12,41,16,125,14,134
Tomas Pina,ALA,LIGA,M,28,2343,27,1,4,13,0,0,41,4,41,1,219,10,182
Andres Guardado,BET,LIGA,M,31,2338,27,4,8,8,0,0,28,1,15,6,155,23,101
Moussa Sissoko,TOT,EPL,M,29,2337,27,2,8,2,0,0,16,4,25,4,208,36,114
Konstantinos Manolas,ROM,SERI,D,27,2327,27,0,4,6,0,0,49,25,24,0,136,3,119
Marco Reus,DOR,BUND,F/M,27,2322,27,0,5,3,0,1,8,1,22,2,83,25,109
Casemiro,RMD,LIGA,M,29,2316,27,2,5,5,1,1,41,12,52,2,184,17,235
Miralem Pjanic,JUV,SERI,M,31,2288,27,4,11,5,1,1,36,5,20,4,172,11,85
Thomas Delaney,DOR,BUND,M,30,2288,27,3,8,7,0,0,58,9,54,2,141,10,159
Aron Gunnarsson,CC,EPL,M,28,2275,27,1,9,5,0,0,38,12,29,2,174,11,136
Jean Michael Seri,FUL,EPL,M,32,2250,27,5,13,6,0,0,32,9,28,10,158,16,93
Angel Di Maria,PSG,FRAN,M,29,2249,27,2,16,2,0,0,16,1,17,9,96,37,85
Stefan Radu,LAZ,SERI,D,27,2171,27,0,10,5,0,0,41,14,27,11,149,7,102
Ferland Mendy,LYO,FRAN,D,29,2439,26,3,1,2,0,0,32,5,28,15,192,55,185
Thiago Alcantara,BAY,BUND,M,30,2408,26,4,3,5,0,0,44,4,65,1,266,57,212
Alex Granell,GIR,LIGA,M,32,2392,26,6,6,5,0,0,35,5,28,24,164,21,163
William Carvalho,BET,LIGA,M,30,2386,26,4,6,7,0,0,12,0,27,0,202,43,163
Bryan Cristante,ROM,SERI,M,34,2385,26,8,4,10,0,0,29,4,35,5,175,28,169
Marco Parolo,LAZ,SERI,M,32,2382,26,6,4,7,0,0,25,10,39,10,101,3,135
Vitor Hugo,FIO,SERI,D,29,2379,26,3,1,7,0,1,74,13,42,0,142,2,158
Fabio Depaoli,CHV,SERI,M/D,32,2378,26,6,5,9,2,2,35,16,41,25,125,14,138
Ibrahim Sangare,TOU,FRAN,M,27,2376,26,1,0,7,0,0,29,20,66,1,246,49,226
Morgan Sanson,MAR,FRAN,M,32,2370,26,6,9,8,0,0,42,1,46,14,197,33,175
Wendell,LEV,BUND,D,29,2368,26,3,3,5,0,0,28,13,48,9,165,7,138
Marc  Sasaeta Cucurella,EIB,LIGA,D,31,2356,26,5,7,6,0,0,20,3,37,15,146,17,122
Daniel Wass,VAL,LIGA,M,32,2355,26,6,8,4,0,0,34,4,25,11,130,9,126
Marcel Sabitzer,RBL,BUND,M,30,2351,26,4,6,9,0,0,32,2,28,13,186,15,107
Gerson,FIO,SERI,M,35,2345,26,9,15,7,0,0,14,9,26,4,139,27,183
Prince Oniangue,CAE,FRAN,M,31,2343,26,5,5,3,0,0,28,10,33,2,119,2,136
