Name,Nationality,Age,Club,Goals,Dribbled Past,Tackles,Errors Leading to Shots,Interceptions,Blocked Shots,Accurate Pass %,Accurate Passes in Own Half,Accurate Passes in Opposition Half,Accurate Passes in Final Third,Key Passes,Accurate Long Ball %,Ground Duels %Won,Aerial Duels %Won,Minutes Played,Was Fouled,Dispossessed,Matches Started,Ball Recoveries
Ruben Perez,Spain,30.0,CD Leganés,0.0,48.0,71.0,0.0,41.0,8.0,80.0,518.0,563.0,216.0,14.0,59.0,57.0,54.0,2471.0,40.0,6.0,27.0,225
James McCarthy,Republic of Ireland,28.0,Everton,0.0,0.0,2.0,0.0,1.0,0.0,100.0,5.0,1.0,0.0,0.0,0.0,100.0,0.0,14.0,0.0,0.0,0.0,0
Ibrahim Sangare,Ivory Coast,21.0,Toulouse FC,1.0,31.0,102.0,1.0,29.0,20.0,80.0,542.0,665.0,307.0,20.0,50.0,59.0,55.0,2466.0,39.0,33.0,27.0,251
Stefano Sensi,Italy,23.0,Sassuolo,2.0,24.0,36.0,0.0,33.0,7.0,90.0,513.0,723.0,346.0,52.0,70.0,57.0,42.0,1978.0,68.0,27.0,23.0,153
Jean-Eudes Aholou,Ivory Coast,25.0,AS Monaco,0.0,8.0,20.0,0.0,17.0,0.0,85.0,208.0,253.0,111.0,8.0,61.0,48.0,47.0,1073.0,17.0,9.0,12.0,79
Ibrahim Amadou,France,26.0,Sevilla FC,0.0,7.0,27.0,0.0,11.0,4.0,86.0,189.0,113.0,39.0,3.0,65.0,59.0,62.0,757.0,10.0,8.0,7.0,45
Abdoulaye Toure,France,25.0,FC Nantes,3.0,38.0,48.0,1.0,47.0,10.0,80.0,488.0,607.0,261.0,24.0,52.0,53.0,49.0,2750.0,47.0,40.0,30.0,198
Calum Chambers,England,24.0,Fulham,2.0,32.0,63.0,3.0,69.0,12.0,79.0,653.0,520.0,207.0,16.0,43.0,48.0,54.0,2586.0,4.0,26.0,29.0,233
Sergio Alvarez,Spain,27.0,SD Eibar,0.0,10.0,34.0,0.0,17.0,4.0,79.0,234.0,161.0,53.0,2.0,51.0,53.0,63.0,1072.0,6.0,6.0,12.0,76
Jonathan Hogg,England,30.0,Huddersfield,0.0,42.0,78.0,0.0,72.0,7.0,83.0,660.0,629.0,279.0,16.0,51.0,51.0,48.0,2375.0,35.0,19.0,29.0,234
Lucas Deaux,France,30.0,EA Guingamp,3.0,21.0,41.0,0.0,11.0,0.0,70.0,159.0,205.0,99.0,13.0,58.0,44.0,44.0,1195.0,12.0,12.0,17.0,83
Tyler Adams,United States,20.0,RB Leipzig,0.0,15.0,28.0,0.0,16.0,1.0,80.0,173.0,248.0,118.0,5.0,55.0,59.0,52.0,723.0,11.0,6.0,10.0,60
Lucas Torro,Spain,24.0,Frankfurt,0.0,6.0,14.0,0.0,14.0,1.0,72.0,89.0,99.0,34.0,2.0,44.0,55.0,68.0,560.0,7.0,5.0,8.0,41
Isaac Hayden,England,24.0,Newcastle Utd,1.0,18.0,73.0,0.0,40.0,4.0,79.0,295.0,281.0,132.0,23.0,48.0,56.0,57.0,1864.0,14.0,24.0,21.0,118
Federico Viviani,Italy,27.0,Frosinone,0.0,5.0,6.0,0.0,8.0,3.0,85.0,96.0,88.0,34.0,3.0,60.0,50.0,80.0,341.0,5.0,4.0,5.0,26
Federico Viviani,Italy,27.0,Frosinone,0.0,5.0,6.0,0.0,8.0,3.0,85.0,96.0,88.0,34.0,3.0,60.0,50.0,80.0,341.0,5.0,4.0,5.0,0
Xavier Chavalerin,France,28.0,Stade de Reims,2.0,44.0,106.0,1.0,72.0,12.0,81.0,647.0,513.0,208.0,48.0,51.0,55.0,30.0,3240.0,10.0,17.0,36.0,216
Damien Le Tallec,France,29.0,Montpellier HSC,3.0,56.0,95.0,0.0,59.0,8.0,79.0,492.0,488.0,201.0,23.0,69.0,49.0,53.0,2812.0,26.0,14.0,31.0,191
Mirko Valdifiori,Italy,33.0,SPAL,0.0,6.0,20.0,0.0,5.0,2.0,86.0,213.0,236.0,95.0,22.0,53.0,58.0,29.0,666.0,8.0,3.0,8.0,37
Pirmin Schwegler,Switzerland,32.0,Hannover 96,0.0,26.0,63.0,0.0,41.0,5.0,82.0,479.0,445.0,166.0,41.0,50.0,56.0,57.0,2080.0,35.0,15.0,27.0,133
Santiago Caseres,Argentina,22.0,Villarreal CF,0.0,32.0,67.0,0.0,14.0,9.0,91.0,436.0,347.0,129.0,15.0,75.0,55.0,37.0,1588.0,13.0,5.0,17.0,98
N'Golo Kante,France,28.0,Chelsea,4.0,45.0,74.0,1.0,44.0,6.0,88.0,618.0,1164.0,653.0,46.0,73.0,43.0,40.0,3095.0,13.0,54.0,36.0,238
Sergio Busquets,Spain,30.0,FC Barcelona,0.0,48.0,90.0,1.0,54.0,8.0,90.0,974.0,1173.0,468.0,15.0,79.0,57.0,50.0,2719.0,54.0,25.0,30.0,194
Axel Witsel,Belgium,30.0,Dortmund,4.0,11.0,47.0,0.0,47.0,6.0,93.0,1016.0,1223.0,477.0,17.0,76.0,64.0,60.0,2873.0,50.0,26.0,33.0,224
Blaise Matuidi,France,32.0,Juventus,3.0,16.0,59.0,1.0,26.0,8.0,88.0,416.0,664.0,268.0,23.0,77.0,58.0,39.0,2427.0,25.0,18.0,29.0,141
Nemanja Matic,Serbia,30.0,Manchester Utd,1.0,29.0,50.0,4.0,31.0,18.0,87.0,830.0,768.0,298.0,13.0,66.0,48.0,63.0,2440.0,20.0,39.0,28.0,207
Lucas Torreira,Uruguay,23.0,Arsenal,2.0,32.0,65.0,2.0,41.0,7.0,87.0,700.0,698.0,252.0,17.0,59.0,59.0,45.0,2379.0,77.0,28.0,24.0,220
Thomas Partey,Ghana,25.0,Atlético Madrid,3.0,28.0,66.0,1.0,49.0,5.0,84.0,450.0,670.0,299.0,20.0,60.0,60.0,55.0,2064.0,21.0,19.0,22.0,144
William Carvalho,Portugal,27.0,Real Betis,0.0,13.0,45.0,0.0,12.0,0.0,89.0,732.0,963.0,390.0,18.0,74.0,59.0,70.0,2386.0,35.0,35.0,26.0,202
Thomas Delaney,Denmark,27.0,Dortmund,3.0,11.0,69.0,0.0,58.0,9.0,86.0,698.0,680.0,254.0,15.0,57.0,60.0,56.0,2288.0,25.0,14.0,30.0,141
Jordan Henderson,England,28.0,Liverpool,1.0,23.0,46.0,0.0,30.0,3.0,87.0,648.0,875.0,331.0,16.0,60.0,51.0,54.0,1982.0,12.0,8.0,21.0,168
Marco Parolo,Italy,34.0,Lazio,4.0,38.0,68.0,0.0,28.0,11.0,78.0,331.0,482.0,250.0,31.0,52.0,45.0,52.0,2562.0,15.0,20.0,28.0,117
Lars Bender,Germany,30.0,Leverkusen,1.0,17.0,43.0,0.0,21.0,4.0,83.0,320.0,366.0,168.0,14.0,45.0,60.0,50.0,1366.0,28.0,4.0,20.0,95
Lucas Biglia,Argentina,33.0,Milan,1.0,25.0,60.0,1.0,22.0,3.0,90.0,401.0,352.0,157.0,12.0,74.0,57.0,36.0,1114.0,16.0,12.0,13.0,108
Wilfred Ndidi,Nigeria,22.0,Leicester City,2.0,49.0,143.0,2.0,83.0,9.0,80.0,766.0,819.0,328.0,23.0,52.0,58.0,55.0,3298.0,22.0,36.0,37.0,324
Marcelo Brozovic,Croatia,26.0,Inter,2.0,54.0,101.0,3.0,44.0,8.0,90.0,959.0,1339.0,579.0,51.0,77.0,53.0,39.0,2656.0,28.0,27.0,31.0,228
Abdoulaye Doucoure,France,26.0,Watford,5.0,40.0,71.0,4.0,34.0,8.0,83.0,752.0,869.0,406.0,38.0,54.0,45.0,53.0,3062.0,13.0,42.0,34.0,257
Christoph Kramer,Germany,28.0,M'gladbach,2.0,25.0,41.0,0.0,21.0,4.0,89.0,349.0,303.0,111.0,9.0,59.0,47.0,37.0,1136.0,14.0,16.0,18.0,77
Kevin Strootman,Netherlands,29.0,OM,0.0,3.0,2.0,0.0,3.0,0.0,78.0,11.0,17.0,8.0,2.0,0.0,29.0,67.0,90.0,0.0,0.0,1.0,124
Kevin Strootman,Netherlands,29.0,OM,0.0,3.0,2.0,0.0,3.0,0.0,78.0,11.0,17.0,8.0,2.0,0.0,29.0,67.0,90.0,0.0,0.0,1.0,1
Thiago Mendes,Brazil,27.0,LOSC Lille,0.0,32.0,85.0,0.0,68.0,11.0,85.0,722.0,1010.0,359.0,62.0,49.0,62.0,39.0,3082.0,66.0,28.0,35.0,310
Luka Milivojevic,Serbia,28.0,Crystal Palace,12.0,52.0,89.0,2.0,73.0,15.0,80.0,814.0,827.0,326.0,60.0,49.0,50.0,58.0,3420.0,37.0,20.0,38.0,194
Josuha Guilavogui,France,28.0,VfL Wolfsburg,2.0,11.0,31.0,1.0,43.0,8.0,82.0,410.0,243.0,85.0,8.0,56.0,53.0,58.0,1571.0,8.0,7.0,19.0,158
Yann M'Vila,France,28.0,ASSE,0.0,44.0,72.0,5.0,74.0,12.0,86.0,1164.0,811.0,273.0,25.0,65.0,57.0,56.0,3260.0,33.0,17.0,37.0,244
Jefferson Lerma,Colombia,24.0,Bournemouth,2.0,40.0,45.0,1.0,54.0,18.0,83.0,698.0,603.0,263.0,15.0,55.0,52.0,51.0,2510.0,51.0,20.0,29.0,233
Leander Dendoncker,Belgium,24.0,Wolves,2.0,31.0,53.0,1.0,23.0,6.0,79.0,250.0,233.0,104.0,7.0,58.0,61.0,51.0,1469.0,11.0,7.0,17.0,92
Diego Demme,Germany,27.0,RB Leipzig,0.0,34.0,75.0,0.0,26.0,3.0,82.0,505.0,701.0,322.0,26.0,52.0,59.0,54.0,2064.0,51.0,18.0,26.0,162
Milan Badelj,Croatia,30.0,Lazio,1.0,21.0,33.0,1.0,33.0,9.0,86.0,322.0,418.0,170.0,10.0,62.0,55.0,55.0,1143.0,15.0,9.0,14.0,90
Francis Coquelin,France,28.0,Valencia CF,0.0,18.0,46.0,1.0,49.0,5.0,86.0,397.0,437.0,211.0,18.0,68.0,60.0,63.0,1766.0,29.0,26.0,20.0,162
Victor Wanyama,Kenya,27.0,Spurs,1.0,6.0,13.0,0.0,7.0,3.0,81.0,105.0,160.0,50.0,2.0,11.0,52.0,50.0,518.0,6.0,4.0,4.0,39
Roberto Gagliardini,Italy,25.0,Inter,5.0,17.0,23.0,0.0,16.0,3.0,87.0,265.0,432.0,197.0,14.0,55.0,45.0,58.0,1091.0,19.0,10.0,13.0,46
Omar Mascarell,Spain,26.0,Schalke,0.0,14.0,20.0,0.0,23.0,7.0,84.0,214.0,183.0,63.0,5.0,53.0,45.0,52.0,993.0,4.0,8.0,14.0,70
Morgan Schneiderlin,France,29.0,Everton,0.0,8.0,24.0,0.0,15.0,3.0,89.0,227.0,257.0,92.0,9.0,57.0,45.0,56.0,835.0,7.0,7.0,10.0,71
Nuri Sahin,Turkey,30.0,Werder Bremen,1.0,36.0,59.0,1.0,36.0,3.0,86.0,485.0,456.0,180.0,15.0,50.0,50.0,51.0,1486.0,9.0,12.0,20.0,124
Marc Roca,Spain,22.0,RCD Espanyol,1.0,42.0,73.0,2.0,36.0,21.0,87.0,843.0,857.0,347.0,23.0,72.0,49.0,51.0,3116.0,27.0,24.0,35.0,236
Ellyes Skhiri,Tunisia,24.0,Montpellier HSC,3.0,48.0,105.0,0.0,61.0,7.0,86.0,699.0,720.0,290.0,23.0,68.0,56.0,57.0,3105.0,34.0,35.0,36.0,235
