Player Name,Team,League,POS,GP,MIN,BR
Jonjo Shelvey,NEW,EPL,M,16,944,84
Marco Reus,DOR,BUND,F/M,27,2322,83
Admir Mehmedi,WOL,BUND,F/M,26,1698,83
Romulo,GEN,SERI,M,17,1357,83
Lucas Deaux,GUI,FRAN,M,18,1195,83
Riyad Mahrez,MCI,EPL,M,27,1337,83
Hatem Ben Arfa,REN,FRAN,M,26,2036,82
Mesut Ozil,ARS,EPL,M,24,1741,82
Ondrej Petrak,FCN,BUND,M,22,1622,82
Goncalo Guedes,VAL,LIGA,F/M,25,1469,82
Lucas Vazquez,RMD,LIGA,M,31,1501,82
Daniele De Rossi,ROM,SERI,M,18,1273,82
Romain Saiss,WLV,EPL,M/D,19,1144,82
Philippe Coutinho,BAR,LIGA,F/M,34,2022,81
Jozabed,CEL,LIGA,M,20,1157,81
Marek Hamsik,NAP,SERI,M,13,922,81
Dominik Kohr,LEV,BUND,M,18,968,81
Stephan El Shaarawy,ROM,SERI,F/M,28,2108,80
Andre Schurrle,FUL,EPL,M,24,1649,80
Milot Rashica,BRE,BUND,M,26,1558,80
Joaquin Correa,LAZ,SERI,F/M,34,1919,80
Francis Guerrero,BET,LIGA,M/D,22,1790,79
Hector Bellerin,ARS,EPL,M/D,19,1533,79
Eric Dier,TOT,EPL,M/D,20,1509,79
Leo Stulac,PAR,SERI,M,26,1449,79
Valon Behrami,UDN,SERI,M/D,19,1367,79
Stuart Armstrong,SOU,EPL,M,29,1431,79
Romain Del Castillo,REN,FRAN,M,29,1337,79
Oliver Fink,DUS,BUND,M,19,1066,79
Jean-Eudes Aholou,MON,FRAN,M,17,1073,79
Joao Pedro,CAG,SERI,M,34,2569,78
Ante Rebic,EF,BUND,F/M,29,2073,78
Jean Zimmer,DUS,BUND,M/D,18,1439,78
Philipp Bargfrede,BRE,BUND,M,15,1084,78
Joao Mario,INT,SERI,M,20,1081,78
Christoph Kramer,BM,BUND,M,18,1136,77
Kingsley Coman,MUN,BUND,M,21,1388,76
Juan Cuadrado,JUV,SERI,M,18,1224,76
Elvis Rexhbecaj,WOL,BUND,M,24,1141,76
Sergio Alvarez,EIB,LIGA,M,19,1064,76
Helder Costa,WLV,EPL,F/M,25,1345,75
Gabriel Boschilia,NTE,FRAN,M,29,1319,75
Youri Tielemans,LEI,EPL,M,13,1091,75
Sanjin Prcic,STR,FRAN,M,13,1046,75
Alessandro Murgia,SPL,SERI,M,15,1071,75
Gaston Ramirez,SMP,SERI,F/M,27,1585,74
Oleksandr Zinchenko,MCI,EPL,M/D,14,1153,74
Youssef Ait Bennasser,ETI,FRAN,M,13,937,74
Alex Gallar,HUE,LIGA,M,25,1002,74
Ruben Loftus-Cheek,CHE,EPL,M,24,983,74
James Rodriguez,MUN,BUND,M,20,1142,73
Pedro Obiang,WHU,EPL,M,24,1120,73
Esteban Rolon,GEN,SERI,M,19,1042,73
Mario Gotze,DOR,BUND,F/M,26,1678,72
Danilo,NIC,FRAN,M,22,1549,72
Alex Berenguer,TOR,SERI,M,31,1479,72
Kevin Mohwald,BRE,BUND,F/M,23,861,72
Gerard Deulofeu,WAT,EPL,M,30,2079,71
Lorenzo Insigne,NAP,SERI,F/M,28,2078,71
Dimitri Payet,MAR,FRAN,M,31,1910,71
Juan Mata,MUN,EPL,M,22,1293,71
Ignazio Abate,MIL,SERI,M,19,1305,71
Francesco Cassata,FRO,SERI,M,19,1128,71
Sebastian Rode,EF,BUND,M,12,931,71
Morgan Schneiderlin,EVE,EPL,M,14,835,71
Jeremie Boga,SAS,SERI,F/M,25,1439,70
Omar Mascarell,SKE,BUND,M,15,1083,70
Franck Ribery,MUN,BUND,M,25,1167,70
Adama Mbengue,CAE,FRAN,M,11,738,70
Jakub Jankto,SMP,SERI,M,25,949,70
Mike Frantz,FBG,BUND,M,32,2302,69
Roberto Soriano,BGN,SERI,F/M,17,1492,69
Federico Mattiello,BGN,SERI,M/D,17,1335,69
Victor Sanchez,ESP,LIGA,M/D,24,1257,69
Amine Harit,SKE,BUND,M,18,1083,69
Moussa Diaby,PSG,FRAN,M,25,1131,69
Jonathan Biabiany,PAR,SERI,F/M,18,1070,68
Per Skjelbred,HB,BUND,M,16,996,68
Isco,RMD,LIGA,M,27,1186,68
Adam Nagy,BGN,SERI,M,14,972,68
Bryan Dabo,FIO,SERI,M,23,818,68
Dries Mertens,NAP,SERI,F/M,35,2252,67
Emil Forsberg,RBL,BUND,M,20,1252,67
James Edward Lea-Siliki,REN,FRAN,M,24,1219,67
Yann Karamoh,BDX,FRAN,M,22,1224,67
Cesc Fabregas,MON,FRAN,M,13,969,67
Tom Davies,EVE,EPL,M,16,976,67
Samu Castillejo,MIL,SERI,F/M,31,1008,67
Jesse Lingard,MUN,EPL,M,27,1669,66
Leonardo Bittencourt,HOF,BUND,M,21,1069,66
Rene Krhin,NTE,FRAN,M,16,1056,66
Robin Quaison,MAI,BUND,F/M,28,2204,65
Callum Paterson,CC,EPL,F/M,27,1996,65
Luca Fuentes Sangalli,RSO,LIGA,M,18,999,65
Xherdan Shaqiri,LIV,EPL,M,24,1058,65
Youssouf Fofana,STR,FRAN,M,17,910,65
Joaquin,BET,LIGA,M,30,1694,64
Tristan Dingome,REI,FRAN,M,20,1356,64
Mahmoud Dahoud,DOR,BUND,M,14,695,63
Kevin Mirallas,FIO,SERI,F/M,27,1298,62
Anthony Limbombe,NTE,FRAN,M,29,1232,62
Marvin Zeegelaar,UDN,SERI,M/D,12,955,62
Jean-Clair Todibo,TOU,FRAN,M,10,835,62
Cheick Timite,AMN,FRAN,M,27,1451,61
Alvaro Odriozola,RMD,LIGA,M/D,14,1179,61
Gerard Gumbau,LGN,LIGA,M,16,1196,61
Kevin De Bruyne,MCI,EPL,M,19,974,61
Lucas Castro,CAG,SERI,M,12,897,61
Hasanne Kamara,REI,FRAN,M,16,921,61
Sofian Kiyine,CHV,SERI,M,23,808,61
Amir Abrashi,FBG,BUND,M,10,791,61
Miguel Almiron,NEW,EPL,F/M,10,763,61
Daniel Didavi,SGT,BUND,M,20,950,61
Martin Terrier,LYO,FRAN,F/M,32,1481,60
Filip Djuricic,SAS,SERI,M,23,1259,60
Karim Bellarabi,LEV,BUND,M,19,1057,60
Massimo Gobbi,PAR,SERI,M/D,16,1183,60
Valter Birsa,CHV,SERI,F/M,17,1103,60
Isaac Success,WAT,EPL,F/M,30,1039,60
Leonardo Capezzi,EMP,SERI,M,12,775,60
Remi Walter,NIC,FRAN,M,19,828,60
Tyler Adams,RBL,BUND,M/D,10,723,60
Lewis Cook,BOU,EPL,M,13,722,60
Jakob Johansson,REN,FRAN,M,16,709,60
Cengiz Under,ROM,SERI,F/M,26,1376,59
Neymar,PSG,FRAN,F/M,17,1441,59
Oscar Hiljemark,GEN,SERI,M,17,1201,59
Adnan Januzaj,RSO,LIGA,M,20,1252,59
Ainsley Maitland-Niles,ARS,EPL,M/D,16,986,59
Erik Lamela,TOT,EPL,M,19,972,59
Didier Ndong,GUI,FRAN,M,11,746,59
Luca Paganini,FRO,SERI,F/M,14,1121,58
Daniel Amartey,LEI,EPL,M/D,9,639,58
Stefan Ilsanker,RBL,BUND,M,19,926,57
Amadou Diawara,NAP,SERI,M,13,661,57
Christopher Nkunku,PSG,FRAN,M,22,1155,56
Miha Zajc,EMP,SERI,M,20,1165,56
Beram Kayal,BHA,EPL,M,18,937,56
Toma Basic,BDX,FRAN,M,23,1334,55
Marcel Sobottka,DUS,BUND,M,14,944,55
Levin Oztunali,MAI,BUND,M,15,923,55
Luca Valzania,FRO,SERI,M,13,904,55
Borja Fernandez Fernandez,REV,LIGA,M,19,839,55
Arber Zeneli,REI,FRAN,M,15,807,55
Mattia Valoti,SPL,SERI,M,24,1226,54
Fabian Johnson,BM,BUND,M/D,18,1009,54
Caiuby,AUG,BUND,M,14,1006,54
Adama Traore,WLV,EPL,F/M,29,892,54
Pione Sisto,CEL,LIGA,M,25,834,54
Fabian Delph,MCI,EPL,M/D,11,725,54
Ruben Vinagre,WLV,EPL,M/D,17,706,54
Florent Muslija,HAN,BUND,F/M,17,675,54
Steven Zuber,SGT,BUND,M,13,1058,53
Anuar,REV,LIGA,M,19,1082,53
Sasa Lukic,TOR,SERI,M,24,982,53
Patrick Herrmann,BM,BUND,M,24,1073,53
Takashi Usami,DUS,BUND,M,19,876,53
Takashi Inui,ALA,LIGA,M,12,834,53
Nabil El Zhar,LGN,LIGA,M,27,954,53
Sandro,GEN,SERI,M,13,712,53
Vitolo,ATL,LIGA,M,20,744,53
Junior Stanislas,BOU,EPL,M,23,1025,52
Jean-Victor Makengo,NIC,FRAN,M,25,1024,52
Isaac Mbenza,HUD,EPL,F/M,22,982,52
Chang-hoon Kwon,DIJ,FRAN,M,19,936,52
Valery Fernandez Estrada,GIR,LIGA,M,17,884,52
Scott McTominay,MUN,EPL,M,16,862,52
Junior Sambia,MTP,FRAN,M,30,911,52
Jan Moravek,AUG,BUND,M,14,781,52
Erik Thommy,SGT,BUND,F/M,19,791,52
Federico Valverde,RMD,LIGA,M,16,651,52
Sebastian Kerk,FCN,BUND,M,21,1187,51
Patrick Erras,FCN,BUND,M,19,1219,51
Mattias Svanberg,BGN,SERI,M,23,1174,51
Ladislav Krejci,BGN,SERI,M,18,1063,51
Kevin Danso,AUG,BUND,M,18,1247,50
Arnaud Nordin,ETI,FRAN,M,25,1048,50
Fabio Borini,MIL,SERI,F/M,20,1048,50
John Bostock,TOU,FRAN,F/M,16,984,50
Ferran Torres,VAL,LIGA,F/M,24,843,50
Rachid Ghezzal,LEI,EPL,M,19,735,50
Marouane Fellaini,MUN,EPL,M,14,746,50
Mehdi Merghem,GUI,FRAN,M,9,725,49
Lucas Evangelista,NTE,FRAN,M,14,722,49
Marko Arnautovic,WHU,EPL,F/M,28,1999,48
Lukas Lerager,GEN,SERI,M,14,1124,48
Lucas Paqueta,MIL,SERI,M,13,850,48
Sofiane Diop,MON,FRAN,M,13,742,48
Manuel Lanzini,WHU,EPL,M,10,689,48
Manu,VIL,LIGA,M,10,611,48
Riccardo Saponara,SMP,SERI,F/M,22,904,47
Kevin McDonald,FUL,EPL,M,15,842,47
Javairo Dilrosun,HB,BUND,F/M,17,891,47
Ronaldo Vieira,SMP,SERI,M,14,594,47
Reiss Nelson,HOF,BUND,F/M,23,628,47
Diego Rico,BOU,EPL,M/D,12,607,47
Federico Di Francesco,SAS,SERI,F/M,19,1080,46
Roberto Gagliardini,INT,SERI,M,19,1085,46
Jose Izquierdo,BHA,EPL,F/M,15,794,46
Edgar Barreto,SMP,SERI,M,12,784,46
Sean Longstaff,NEW,EPL,M,9,687,46
Andreas Pereira,MUN,EPL,M,15,594,46
Ridle Baku,MAI,BUND,M,15,938,45
Enzo Loiodice,DIJ,FRAN,M,12,851,45
Ibrahim Amadou,SEV,LIGA,M,17,757,45
Simon Rhein,FCN,BUND,M,8,496,45
Robbie Brady,BUR,EPL,M,16,715,45
Michael Lang,BM,BUND,M/D,17,1261,44
Aaron Lennon,BUR,EPL,M,16,1215,44
Hernan Perez,ESP,LIGA,M,19,797,44
Nadiem Amiri,HOF,BUND,M,13,758,44
Mohamed Elyounoussi,SOU,EPL,F/M,16,790,44
Stanley Nsoki,PSG,FRAN,M,12,698,44
Mousa Dembele,TOT,EPL,M,10,515,44
Elias Kachunga,HUD,EPL,F/M,20,1181,43
Marius Wolf,DOR,BUND,M,16,831,43
Bassem Srarfi,NIC,FRAN,F/M,22,812,43
Sandro,UDN,SERI,M,12,595,43
Marcos Llorente,RMD,LIGA,M,7,540,43
Anthony Goncalves,STR,FRAN,M,18,1059,42
Charalampos Lykogiannis,CAG,SERI,M/D,11,828,42
Juanpi,HUE,LIGA,M,14,672,42
Morgan Gibbs-White,WLV,EPL,F/M,26,650,42
Boubakary Soumare,LIL,FRAN,M,18,553,42
Jordan Ayew,CRY,EPL,F/M,20,1187,41
Harvey Barnes,LEI,EPL,M,16,1009,41
Martin Harnik,BRE,BUND,M,18,827,41
Lucas Torro,EF,BUND,M,8,560,41
Romulo,LAZ,SERI,M,10,777,40
Marko Pajac,EMP,SERI,M/D,10,740,40
Bruma,RBL,BUND,F/M,14,549,40
Kalifa Coulibaly,NTE,FRAN,M,32,1746,39
Alexis Sanchez,MUN,EPL,F/M,20,877,39
Nikola Vukcevic,LEV,LIGA,M,16,670,39
Aurelien Tchouameni,BDX,FRAN,M,10,705,39
Giacomo Bonaventura,MIL,SERI,F/M,8,651,39
Steven Zuber,HOF,BUND,M,9,574,39
Sanjin Prcic,LEV,LIGA,M,10,533,39
Alessandro Deiola,PAR,SERI,M,10,541,39
Leandro Bacuna,CC,EPL,M/D,11,554,39
Victor Wanyama,TOT,EPL,M,13,513,39
Adrien Hunou,REN,FRAN,M,19,1241,38
Diego Laxalt,MIL,SERI,M/D,20,640,38
Carles Alena,BAR,LIGA,M,17,631,38
Grady Diangana,WHU,EPL,F/M,17,605,38
Burgui,ALA,LIGA,M,16,547,38
Samuel Grandsir,MON,FRAN,M,12,465,38
Christian Pulisic,DOR,BUND,M,20,923,37
Wilfrid Kaptoum,BET,LIGA,M,10,776,37
Mirko Valdifiori,SPL,SERI,M,15,666,37
Douglas Costa,JUV,SERI,F/M,17,616,37
Danilo Cataldi,LAZ,SERI,M,12,571,37
Tom Cleverley,WAT,EPL,M,13,471,37
Marko Rog,SEV,LIGA,M,10,354,37
Gareth Bale,RMD,LIGA,F/M,29,1792,36
Emanuel Vignato,CHV,SERI,F/M,10,661,36
Javier Pastore,ROM,SERI,M,14,596,36
Baissama Sankoh,CAE,FRAN,M/D,15,646,36
Maxime Gonalons,SEV,LIGA,M,10,536,36
Gael Kakuta,RV,LIGA,M,12,720,35
Joel Obi,CHV,SERI,M,11,665,35
Diego Perotti,ROM,SERI,F/M,13,665,35
Paolo Sammarco,FRO,SERI,M,8,552,35
Ignacio Camacho,WOL,BUND,M,6,540,35
Ganso,AMN,FRAN,M,12,517,35
Renato Sanches,MUN,BUND,M,17,566,35
Stefan Johansen,FUL,EPL,M,12,411,35
Boulaye Dia,REI,FRAN,M,18,746,34
Ryad Boudebouz,CEL,LIGA,M,11,720,34
Alexander Fuchs,FCN,BUND,M,9,660,34
Leonardo Spinazzola,JUV,SERI,M/D,10,598,34
Ibai Gomez,ATH,LIGA,M,14,577,34
Yunus Malli,WOL,BUND,M,21,689,34
Luca Mazzitelli,GEN,SERI,M,10,319,34
Jordon Ibe,BOU,EPL,M,19,796,33
Ken Sema,WAT,EPL,F/M,17,755,33
Hamza Choudhury,LEI,EPL,M,9,596,33
Kevin Zohi,STR,FRAN,M,20,621,33
Rajiv van La Parra,HUD,EPL,M,5,407,33
Antonio Valencia,MUN,EPL,M/D,6,465,32
Gaku Shibasaki,GET,LIGA,M,7,389,32
Daniele Verde,REV,LIGA,F/M,22,641,32
Javi Eraso,LGN,LIGA,M,13,635,31
Serge Aurier,TOT,EPL,M/D,8,563,31
Steven Defour,BUR,EPL,M,6,452,31
Mattia Sprocati,PAR,SERI,F/M,16,637,31
Chadrac Akolo,SGT,BUND,M,16,523,31
Vincent Pajot,ANG,FRAN,M,13,721,30
Marvin Martin,REI,FRAN,M,13,627,30
Frederic Sammaritano,DIJ,FRAN,M,14,536,30
Adam Ounas,NAP,SERI,F/M,18,534,30
Vasyl Kravets,LGN,LIGA,M/D,6,484,30
Emil Hallfredsson,FRO,SERI,M,6,393,30
Pele,MON,FRAN,M,8,449,30
Alexandru Maxim,MAI,BUND,M,22,558,30
Valentin Vada,ETI,FRAN,M,12,398,30
Vladimir Darida,HB,BUND,M,10,373,30
Domingos Quina,WAT,EPL,M,8,334,30
Vittorio Parigini,TOR,SERI,F/M,17,364,30
Assane Diousse,ETI,FRAN,M,7,212,30
Nacer Chadli,MON,FRAN,M,16,692,29
Eric Maxim Choupo-Moting,PSG,FRAN,F/M,22,793,29
Sami Khedira,JUV,SERI,M,10,711,29
Javier Garcia,BET,LIGA,M,13,520,29
Moustapha Diallo,NIM,FRAN,M,7,457,29
Valentin Eysseric,FIO,SERI,F/M,8,355,29
Roberto Soriano,TOR,SERI,F/M,11,468,28
Roland Sallai,FBG,BUND,F/M,11,544,28
Iver Fossum,HAN,BUND,M,9,453,28
Mathieu Flamini,GET,LIGA,M,10,449,28
Paolo Ghiglione,FRO,SERI,M/D,9,514,27
Luisinho,HUE,LIGA,M,7,509,27
Stef Peeters,CAE,FRAN,M,7,409,27
Sebastian Cristoforo,GET,LIGA,M,15,442,27
Callum Hudson-Odoi,CHE,EPL,M,10,391,27
Jack Wilshere,WHU,EPL,M,8,389,27
Juan Aguilera,HUE,LIGA,M,6,347,27
Antonio Di Gaudio,PAR,SERI,F/M,12,704,26
Steven Skrzybski,SKE,BUND,F/M,12,665,26
Mickael Alphonse,DIJ,FRAN,M,11,567,26
Mohamed Elneny,ARS,EPL,M,8,379,26
Florian Kainz,BRE,BUND,M,8,375,26
Federico Viviani,FRO,SERI,M,5,341,26
Havard Nordtveit,HOF,BUND,M/D,8,468,26
Peru Nolaskoain,ATH,LIGA,M,8,463,26
Daniele Dessena,CAG,SERI,M,11,347,26
Filippo Costa,SPL,SERI,M,9,562,25
Lorenzo Crisetig,FRO,SERI,M,8,505,25
Adam Lallana,LIV,EPL,M,13,465,25
Eduardo Camavinga,REN,FRAN,M,7,363,25
Havard Nordtveit,FUL,EPL,M/D,5,361,25
Unai Lopez,ATH,LIGA,M,7,325,25
Timothy Tillman,FCN,BUND,M,6,203,25
Kevin-Prince Boateng,SAS,SERI,F/M,13,942,24
Francisco Aday,GIR,LIGA,M,10,647,24
Arjen Robben,MUN,BUND,M,12,566,24
Adama Diakhaby,HUD,EPL,M,12,553,24
Emiliano Rigoni,ATA,SERI,F/M,12,521,24
Waldo Rubio,REV,LIGA,F/M,8,493,24
Guessouma Fofana,GUI,FRAN,M,10,475,24
Darwin Machis,UDN,SERI,F/M,13,457,24
Salih Ucan,EMP,SERI,M,14,248,24
Patrick Roberts,GIR,LIGA,F/M,19,594,23
Raffael,BM,BUND,F/M,13,533,23
Alessandro Deiola,CAG,SERI,M,10,448,23
Yeni N'Gbakoto,GUI,FRAN,F/M,15,559,23
Valter Birsa,CAG,SERI,F/M,12,349,23
Vincenzo Grifo,HOF,BUND,M,7,332,23
Marco Terrazzino,FBG,BUND,F/M,13,517,22
Ibrahima Traore,BM,BUND,M,16,548,22
Alberto Grassi,PAR,SERI,M,7,461,22
Pedro Leon,EIB,LIGA,M,9,426,22
Uche Agbo,RV,LIGA,M,6,372,22
Nolan Mbemba,REI,FRAN,M,8,355,22
Christian Norgaard,FIO,SERI,M,6,323,22
Aly Ndom,REI,FRAN,M,11,355,22
Vicente Iborra,LEI,EPL,M,8,226,22
Amin Younes,NAP,SERI,F/M,12,498,21
Jason Puncheon,HUD,EPL,M,6,383,21
Pere Milla,EIB,LIGA,M,5,344,21
Antonin Barak,UDN,SERI,F/M,8,329,21
Andrew Hjulsager,CEL,LIGA,M,15,349,21
Reece Oxford,AUG,BUND,M,8,504,20
Pape Cheikh Diop,LYO,FRAN,M,12,452,20
"St&eacute;phane Mbia",TOU,FRAN,M/D,5,447,20
Felix Klaus,WOL,BUND,M,15,437,20
Amadou Haidara,RBL,BUND,M,9,374,20
Marko Rog,NAP,SERI,M,9,331,20
Zaydou Youssouf,BDX,FRAN,M,11,423,19
Ryad Boudebouz,BET,LIGA,M,9,540,19
Antonio Candreva,INT,SERI,F/M,18,492,19
Nathaniel Chalobah,WAT,EPL,M,9,267,19
Mikel Rico,ATH,LIGA,M,4,243,19
Mathias Jensen,CEL,LIGA,M,6,235,19
Bongani Zungu,AMN,FRAN,M,5,231,19
Mirko Gori,FRO,SERI,M,10,321,19
Samu Saiz,GET,LIGA,M,10,299,19
Josh Sims,SOU,EPL,M,7,209,19
Danilo Soddimo,FRO,SERI,F/M,10,244,18
Yevhen Konoplyanka,SKE,BUND,F/M,13,653,17
Benjamin Corgnet,STR,FRAN,M,17,665,17
Miguel Layun,VIL,LIGA,M/D,8,505,17
Ihsan Sacko,NIC,FRAN,M,13,436,17
Mihailo Ristic,MTP,FRAN,M,10,321,17
Everton Luiz,SPL,SERI,M,10,312,17
Matteo Pessina,ATA,SERI,M,12,229,17
Valon Berisha,LAZ,SERI,M,8,192,17
Cesc Fabregas,CHE,EPL,M,6,175,17
Leo Suarez,REV,LIGA,M,12,519,16
Jean-Kevin Augustin,RBL,BUND,M,17,451,16
Eddy Sylvestre,NIC,FRAN,M,5,266,16
Valentin Eysseric,NTE,FRAN,F/M,5,209,16
Samuel Grandsir,STR,FRAN,M,8,234,16
Yacine Adli,BDX,FRAN,M,7,214,16
Takashi Inui,BET,LIGA,M,8,377,15
Cheick Doukoure,LEV,LIGA,M,9,313,15
Jacob Murphy,NEW,EPL,M,9,300,15
Javi Fuego,VIL,LIGA,M,5,234,15
Jules Keita,DIJ,FRAN,M,17,443,15
Antoine Bernede,PSG,FRAN,M,2,170,15
Matteo Brighi,EMP,SERI,M,10,224,15
Marc Stendera,EF,BUND,M,7,107,15
Sheyi Ojo,REI,FRAN,M,15,459,14
Philip Foden,MCI,EPL,M,13,329,14
Gorka Elustondo,RV,LIGA,M,5,285,14
Brahim Diaz,RMD,LIGA,F/M,9,378,13
Stefano Sturaro,GEN,SERI,M,5,216,13
Carlos Sanchez,WHU,EPL,M/D,7,240,13
Oliver Skipp,TOT,EPL,M,8,216,13
Jose Agustin Mauri,MIL,SERI,M,5,207,13
Lorenzo Dickmann,SPL,SERI,M/D,6,172,13
Lassana Diarra,PSG,FRAN,M,3,160,13
Jean-Clair Todibo,BAR,LIGA,M,2,158,13
Jordan Ferri,LYO,FRAN,M,4,114,13
Jordi Mboula,MON,FRAN,F/M,7,276,12
Evens Joseph,CAE,FRAN,M,13,332,12
Daniel Ojeda,LGN,LIGA,M,5,192,12
Timor,GIR,LIGA,M/D,2,164,12
Yassine Benrahou,BDX,FRAN,M,4,175,12
Georg Teigl,AUG,BUND,M/D,7,299,11
Dennis Geiger,HOF,BUND,M,4,246,11
Inigo Lekue,ATH,LIGA,M/D,4,210,11
Guessouma Fofana,AMN,FRAN,M,3,186,11
Paulinho,LEV,BUND,M,16,175,11
Kadeem Harris,CC,EPL,F/M,13,366,10
Adama Traore,MON,FRAN,M,6,240,10
Allan,EF,BUND,M,4,174,10
Lluis Sastre Reus,HUE,LIGA,M,4,117,10
Alex Lopez,ESP,LIGA,M,4,109,10
Ibrahima Cisse,FUL,EPL,M,3,87,10
William Vainqueur,MON,FRAN,M,3,78,10
Samir Nasri,WHU,EPL,M,5,245,9
Hervias,EIB,LIGA,M,3,180,9
Riqui Puig Marti,BAR,LIGA,M,2,157,9
Mickael Cuisance,BM,BUND,M,11,269,9
Wesley Fofana,ETI,FRAN,M,2,160,9
Gregory Sertic,MAR,FRAN,M/D,4,107,9
Svante Ingelsson,UDN,SERI,M,3,95,9
Rafinha,BAR,LIGA,F/M,5,225,8
Kevin Ndoram,MON,FRAN,M/D,4,194,8
Godfred Donsah,BGN,SERI,M,6,148,8
Emil Hallfredsson,UDN,SERI,M,3,135,8
Steven Davis,SOU,EPL,M,3,97,8
Ander Iturraspe,ATH,LIGA,M,3,97,8
Christoph Baumgartner,HOF,BUND,M,2,86,8
Yoann Gourcuff,DIJ,FRAN,M,8,127,8
Facundo Piriz,MTP,FRAN,M,6,112,8
Ramadan Sobhi,HUD,EPL,M,4,75,8
Alphonso Davies,MUN,BUND,M,6,74,8
Stephane Omeonga,GEN,SERI,M,3,54,8
John Yeboah Zamora,WOL,BUND,M,2,54,8
Wilfried Kanga,ANG,FRAN,F/M,18,482,7
Fredrik Jensen,AUG,BUND,M,6,205,7
Edgar Prib,HAN,BUND,M,4,203,7
Rabbi Matondo,SKE,BUND,F/M,8,213,7
Callum Slattery,SOU,EPL,M/D,3,110,7
Gaoussou Boubacar Traore,AMN,FRAN,M,3,107,7
Danny Williams,HUD,EPL,M,5,95,7
Kevin Soni,GIR,LIGA,M,5,78,7
Badu,UDN,SERI,M,4,161,6
Iuri Medeiros,GEN,SERI,F/M,2,107,6
Gerrit Holtmann,MAI,BUND,M/D,4,143,6
Rai Vloet,FRO,SERI,F/M,5,119,6
Imran Louza,NTE,FRAN,M,1,89,6
Bruno Jordao,LAZ,SERI,M,3,87,6
Jose Machin,PAR,SERI,M,2,77,6
Mauro Burruchaga,CHV,SERI,M,1,57,6
Andrija Balic,UDN,SERI,M,4,23,6
Kevin-Prince Boateng,BAR,LIGA,F/M,3,240,5
Jeremy Grimm,STR,FRAN,M,5,167,5
Hervias,REV,LIGA,M,3,161,5
Sergej Grubac,CHV,SERI,M,3,157,5
Keagan Dolly,MTP,FRAN,M,3,89,5
Fran Manzanara,LEV,LIGA,M,4,155,5
Edgar Salli,FCN,BUND,F/M,3,115,5
Mason Greenwood,MUN,EPL,M,3,115,5
Shinji Kagawa,DOR,BUND,M,2,98,5
Ander Guevara,RSO,LIGA,M,1,90,5
Adrien Silva,LEI,EPL,M,2,88,5
Aly Ndom,CAE,FRAN,M,1,45,5
Neeskens Kebano,FUL,EPL,M,7,103,5
Marko Pajac,CAG,SERI,M/D,3,98,5
Denis Suarez,ARS,EPL,M,4,67,5
Miguel Mari Sanchez,EIB,LIGA,M,2,67,5
Harisson Manzala,ANG,FRAN,M,8,66,5
Markel Bergara,GET,LIGA,M,3,50,5
Assil Jaziri,NIC,FRAN,F/M,3,34,5
Bakary Sako,CRY,EPL,M,4,26,5
Yassine Fekir,LYO,FRAN,M,1,11,5
Davide Zappacosta,CHE,EPL,M/D,4,125,4
Randal Kolo Muani,NTE,FRAN,M,6,119,4
Leandro Barreiro,MAI,BUND,M,1,90,4
Pablo De Blasis,MAI,BUND,M,1,90,4
Romain Faivre,MON,FRAN,M,1,90,4
Antonis Aidonis,SGT,BUND,M/D,2,81,4
Manuel Iturra,VIL,LIGA,M,3,73,4
Marco Fabian,EF,BUND,M,1,63,4
Moreto Cassama,REI,FRAN,M,1,60,4
Dejan Kulusevski,ATA,SERI,M,3,103,4
Yoric Ravet,FBG,BUND,M,4,72,4
Juanjo Camacho,HUE,LIGA,M,3,34,4
Bilal Boutobba,MTP,FRAN,M,2,31,4
Denis Suarez,BAR,LIGA,M,2,17,4
Abdoulaye Dabo,NTE,FRAN,M,2,117,3
Jacopo Dezi,PAR,SERI,M,1,90,3
Daniel Alejandro Torres,ALA,LIGA,M,2,71,3
Aaron Rowe,HUD,EPL,M,2,69,3
Corentin Tolisso,MUN,BUND,M,2,52,3
Robert Ibanez,GET,LIGA,M,7,71,3
Sueng-Ho Paik,GIR,LIGA,M,3,58,3
Dennis Jastrzembski,HB,BUND,F/M,5,58,3
Marko Jankovic,SPL,SERI,F/M,4,50,3
Nicky Medja Beloko,FIO,SERI,M,1,45,3
Arkadiusz Reca,ATA,SERI,M/D,3,45,3
Hans Nunoo Sarpei,SGT,BUND,M,2,40,3
Pierrick Valdivia,NIM,FRAN,M,2,29,3
Emile Smith-Rowe,RBL,BUND,F/M,3,28,3
Laszlo Benes,BM,BUND,M,1,26,3
Lukas Rupp,HOF,BUND,M,1,24,3
Luca Valzania,ATA,SERI,M,2,73,2
Kouadio Kone,TOU,FRAN,M,1,69,2
Grigoris Kastanos,JUV,SERI,M,1,61,2
Fousseni Diabate,LEI,EPL,M,1,55,2
Abdelhamid Sabiri,HUD,EPL,M,2,48,2
Matty Daly,HUD,EPL,M,2,73,2
Han-Noah Massengo,MON,FRAN,M,3,58,2
Berkay Ozcan,SGT,BUND,M,3,50,2
Lazar Markovic,FUL,EPL,F/M,1,45,2
Davor Lovren,DUS,BUND,M,2,44,2
Alfa Semedo,ESP,LIGA,M,3,42,2
Collin Quaner,HUD,EPL,F/M,2,37,2
Emerson Hyndman,BOU,EPL,M,1,37,2
