,No,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
0,48,Paul Pogba,Manchester United,9,810,2,0,2.59,1.15,0.29,0.13
1,53,Scott McTominay,Manchester United,5,318,2,0,0.94,0.02,0.27,0.0
2,70,Anthony Martial,Manchester United,7,339,1,0,2.46,0.25,0.65,0.07
3,71,Juan Mata,Manchester United,4,296,1,0,0.59,0.67,0.18,0.2
4,72,Marcus Rashford,Manchester United,8,630,1,0,2.43,1.91,0.35,0.27
5,131,Alexis Sánchez,Manchester United,3,83,0,0,0.00,0.15,0.0,0.17
7,143,Ander Herrera,Manchester United,3,191,0,0,0.08,0.02,0.04,0.01
8,144,Jesse Lingard,Manchester United,5,380,0,0,0.71,0.89,0.17,0.21
9,151,Romelu Lukaku,Manchester United,6,435,0,0,2.96,0.64,0.61,0.13
